𐄬 Aegean Number Twenty Thousand
𐄗 Aegean Number Eighty
𐄭 Aegean Number Thirty Thousand
𐄘 Aegean Number Ninety
𐄀 Aegean Word Separator Line
𐄮 Aegean Number Forty Thousand
𐄙 Aegean Number One Hundred
𐄁 Aegean Word Separator Dot
𐄯 Aegean Number Fifty Thousand
𐄚 Aegean Number Two Hundred
𐄂 Aegean Check Mark
𐄰 Aegean Number Sixty Thousand
𐄛 Aegean Number Three Hundred
𐄇 Aegean Number One
𐄜 Aegean Number Four Hundred
𐄱 Aegean Number Seventy Thousand
𐄈 Aegean Number Two
𐄲 Aegean Number Eighty Thousand
𐄝 Aegean Number Five Hundred
𐄉 Aegean Number Three
𐄳 Aegean Number Ninety Thousand
𐄞 Aegean Number Six Hundred
𐄊 Aegean Number Four
𐄷 Aegean Weight Base Unit
𐄟 Aegean Number Seven Hundred
𐄋 Aegean Number Five
𐄸 Aegean Weight First Subunit
𐄠 Aegean Number Eight Hundred
𐄌 Aegean Number Six
𐄹 Aegean Weight Second Subunit
𐄡 Aegean Number Nine Hundred
𐄍 Aegean Number Seven
𐄺 Aegean Weight Third Subunit
𐄢 Aegean Number One Thousand
𐄎 Aegean Number Eight
𐄻 Aegean Weight Fourth Subunit
𐄣 Aegean Number Two Thousand
𐄏 Aegean Number Nine
𐄼 Aegean Dry Measure First Subunit
𐄤 Aegean Number Three Thousand
𐄐 Aegean Number Ten
𐄽 Aegean Liquid Measure First Subunit
𐄥 Aegean Number Four Thousand
𐄑 Aegean Number Twenty
𐄾 Aegean Measure Second Subunit
𐄦 Aegean Number Five Thousand
𐄒 Aegean Number Thirty
𐄿 Aegean Measure Third Subunit
𐄧 Aegean Number Six Thousand
𐄓 Aegean Number Forty
𐄨 Aegean Number Seven Thousand
𐄔 Aegean Number Fifty
𐄩 Aegean Number Eight Thousand
𐄕 Aegean Number Sixty
𐄪 Aegean Number Nine Thousand
𐄖 Aegean Number Seventy
𐄫 Aegean Number Ten Thousand
