𑜒 Ahom Letter A
𑜩 Ahom Vowel Sign Ai
𑜓 Ahom Letter Da
𑜪 Ahom Vowel Sign Am
𑜔 Ahom Letter Dha
𑜫 Ahom Sign Killer
𑜕 Ahom Letter Ga
𑜀 Ahom Letter Ka
𑜰 Ahom Digit Zero
𑜖 Ahom Letter Alternate Ga
𑜁 Ahom Letter Kha
𑜱 Ahom Digit One
𑜗 Ahom Letter Gha
𑜂 Ahom Letter Nga
𑜲 Ahom Digit Two
𑜘 Ahom Letter Bha
𑜃 Ahom Letter Na
𑜳 Ahom Digit Three
𑜙 Ahom Letter Jha
𑜄 Ahom Letter Ta
𑜴 Ahom Digit Four
𑜚 Ahom Letter Alternate Ba
𑜅 Ahom Letter Alternate Ta
𑜵 Ahom Digit Five
𑜝 Ahom Consonant Sign Medial La
𑜆 Ahom Letter Pa
𑜶 Ahom Digit Six
𑜞 Ahom Consonant Sign Medial Ra
𑜇 Ahom Letter Pha
𑜷 Ahom Digit Seven
𑜟 Ahom Consonant Sign Medial Ligating Ra
𑜈 Ahom Letter Ba
𑜸 Ahom Digit Eight
𑜠 Ahom Vowel Sign A
𑜉 Ahom Letter Ma
𑜹 Ahom Digit Nine
𑜡 Ahom Vowel Sign Aa
𑜊 Ahom Letter Ja
𑜺 Ahom Number Ten
𑜢 Ahom Vowel Sign I
𑜋 Ahom Letter Cha
𑜻 Ahom Number Twenty
𑜣 Ahom Vowel Sign Ii
𑜌 Ahom Letter Tha
𑜼 Ahom Sign Small Section
𑜤 Ahom Vowel Sign U
𑜍 Ahom Letter Ra
𑜽 Ahom Sign Section
𑜥 Ahom Vowel Sign Uu
𑜎 Ahom Letter La
𑜾 Ahom Sign Rulai
𑜦 Ahom Vowel Sign E
𑜏 Ahom Letter Sa
𑜿 Ahom Symbol Vi
𑜧 Ahom Vowel Sign Aw
𑜐 Ahom Letter Nya
𑜨 Ahom Vowel Sign O
𑜑 Ahom Letter Ha
