ﬀ Latin Small Ligature Ff
ﬁ Latin Small Ligature Fi
ﬂ Latin Small Ligature Fl
ﬃ Latin Small Ligature Ffi
ﬄ Latin Small Ligature Ffl
ﬅ Latin Small Ligature Long S T
ﬆ Latin Small Ligature St
ﬓ Armenian Small Ligature Men Now
ﬔ Armenian Small Ligature Men Ech
ﬕ Armenian Small Ligature Men Ini
ﬖ Armenian Small Ligature Vew Now
ﬗ Armenian Small Ligature Men Xeh
‎יִ Hebrew Letter Yod With Hiriq
ﬞ Hebrew Point Judeo-Spanish Varika
‎ײַ Hebrew Ligature Yiddish Yod Yod Patah
‎ﬠ Hebrew Letter Alternative Ayin
‎ﬡ Hebrew Letter Wide Alef
‎ﬢ Hebrew Letter Wide Dalet
‎ﬣ Hebrew Letter Wide He
‎ﬤ Hebrew Letter Wide Kaf
‎ﬥ Hebrew Letter Wide Lamed
‎ﬦ Hebrew Letter Wide Final Mem
‎ﬧ Hebrew Letter Wide Resh
‎ﬨ Hebrew Letter Wide Tav
﬩ Hebrew Letter Alternative Plus Sign
‎שׁ Hebrew Letter Shin With Shin Dot
‎שׂ Hebrew Letter Shin With Sin Dot
‎שּׁ Hebrew Letter Shin With Dagesh And Shin Dot
‎שּׂ Hebrew Letter Shin With Dagesh And Sin Dot
‎אַ Hebrew Letter Alef With Patah
‎אָ Hebrew Letter Alef With Qamats
‎אּ Hebrew Letter Alef With Mapiq
‎בּ Hebrew Letter Bet With Dagesh
‎גּ Hebrew Letter Gimel With Dagesh
‎דּ Hebrew Letter Dalet With Dagesh
‎הּ Hebrew Letter He With Mapiq
‎וּ Hebrew Letter Vav With Dagesh
‎זּ Hebrew Letter Zayin With Dagesh
‎טּ Hebrew Letter Tet With Dagesh
‎יּ Hebrew Letter Yod With Dagesh
‎ךּ Hebrew Letter Final Kaf With Dagesh
‎כּ Hebrew Letter Kaf With Dagesh
‎לּ Hebrew Letter Lamed With Dagesh
‎מּ Hebrew Letter Mem With Dagesh
‎נּ Hebrew Letter Nun With Dagesh
‎סּ Hebrew Letter Samekh With Dagesh
‎ףּ Hebrew Letter Final Pe With Dagesh
‎פּ Hebrew Letter Pe With Dagesh
‎צּ Hebrew Letter Tsadi With Dagesh
‎קּ Hebrew Letter Qof With Dagesh
‎רּ Hebrew Letter Resh With Dagesh
‎שּ Hebrew Letter Shin With Dagesh
‎תּ Hebrew Letter Tav With Dagesh
‎וֹ Hebrew Letter Vav With Holam
‎בֿ Hebrew Letter Bet With Rafe
‎כֿ Hebrew Letter Kaf With Rafe
‎פֿ Hebrew Letter Pe With Rafe
‎ﭏ Hebrew Ligature Alef Lamed
