𝈀 Greek Vocal Notation Symbol-1
𝈁 Greek Vocal Notation Symbol-2
𝈂 Greek Vocal Notation Symbol-3
𝈃 Greek Vocal Notation Symbol-4
𝈄 Greek Vocal Notation Symbol-5
𝈅 Greek Vocal Notation Symbol-6
𝈆 Greek Vocal Notation Symbol-7
𝈇 Greek Vocal Notation Symbol-8
𝈈 Greek Vocal Notation Symbol-9
𝈉 Greek Vocal Notation Symbol-10
𝈊 Greek Vocal Notation Symbol-11
𝈋 Greek Vocal Notation Symbol-12
𝈌 Greek Vocal Notation Symbol-13
𝈍 Greek Vocal Notation Symbol-14
𝈎 Greek Vocal Notation Symbol-15
𝈏 Greek Vocal Notation Symbol-16
𝈐 Greek Vocal Notation Symbol-17
𝈑 Greek Vocal Notation Symbol-18
𝈒 Greek Vocal Notation Symbol-19
𝈓 Greek Vocal Notation Symbol-20
𝈔 Greek Vocal Notation Symbol-21
𝈕 Greek Vocal Notation Symbol-22
𝈖 Greek Vocal Notation Symbol-23
𝈗 Greek Vocal Notation Symbol-24
𝈘 Greek Vocal Notation Symbol-50
𝈙 Greek Vocal Notation Symbol-51
𝈚 Greek Vocal Notation Symbol-52
𝈛 Greek Vocal Notation Symbol-53
𝈜 Greek Vocal Notation Symbol-54
𝈝 Greek Instrumental Notation Symbol-1
𝈞 Greek Instrumental Notation Symbol-2
𝈟 Greek Instrumental Notation Symbol-4
𝈠 Greek Instrumental Notation Symbol-5
𝈡 Greek Instrumental Notation Symbol-7
𝈢 Greek Instrumental Notation Symbol-8
𝈣 Greek Instrumental Notation Symbol-11
𝈤 Greek Instrumental Notation Symbol-12
𝈥 Greek Instrumental Notation Symbol-13
𝈦 Greek Instrumental Notation Symbol-14
𝈧 Greek Instrumental Notation Symbol-17
𝈨 Greek Instrumental Notation Symbol-18
𝈩 Greek Instrumental Notation Symbol-19
𝈪 Greek Instrumental Notation Symbol-23
𝈫 Greek Instrumental Notation Symbol-24
𝈬 Greek Instrumental Notation Symbol-25
𝈭 Greek Instrumental Notation Symbol-26
𝈮 Greek Instrumental Notation Symbol-27
𝈯 Greek Instrumental Notation Symbol-29
𝈰 Greek Instrumental Notation Symbol-30
𝈱 Greek Instrumental Notation Symbol-32
𝈲 Greek Instrumental Notation Symbol-36
𝈳 Greek Instrumental Notation Symbol-37
𝈴 Greek Instrumental Notation Symbol-38
𝈵 Greek Instrumental Notation Symbol-39
𝈶 Greek Instrumental Notation Symbol-40
𝈷 Greek Instrumental Notation Symbol-42
𝈸 Greek Instrumental Notation Symbol-43
𝈹 Greek Instrumental Notation Symbol-45
𝈺 Greek Instrumental Notation Symbol-47
𝈻 Greek Instrumental Notation Symbol-48
𝈼 Greek Instrumental Notation Symbol-49
𝈽 Greek Instrumental Notation Symbol-50
𝈾 Greek Instrumental Notation Symbol-51
𝈿 Greek Instrumental Notation Symbol-52
𝉀 Greek Instrumental Notation Symbol-53
𝉁 Greek Instrumental Notation Symbol-54
𝉂 Combining Greek Musical Triseme
𝉃 Combining Greek Musical Tetraseme
𝉄 Combining Greek Musical Pentaseme
𝉅 Greek Musical Leimma
