𞸀 Arabic Mathematical Alef
𞸁 Arabic Mathematical Beh
𞸂 Arabic Mathematical Jeem
𞸃 Arabic Mathematical Dal
𞸅 Arabic Mathematical Waw
𞸆 Arabic Mathematical Zain
𞸇 Arabic Mathematical Hah
𞸈 Arabic Mathematical Tah
𞸉 Arabic Mathematical Yeh
𞸊 Arabic Mathematical Kaf
𞸋 Arabic Mathematical Lam
𞸌 Arabic Mathematical Meem
𞸍 Arabic Mathematical Noon
𞸎 Arabic Mathematical Seen
𞸏 Arabic Mathematical Ain
𞸐 Arabic Mathematical Feh
𞸑 Arabic Mathematical Sad
𞸒 Arabic Mathematical Qaf
𞸓 Arabic Mathematical Reh
𞸔 Arabic Mathematical Sheen
𞸕 Arabic Mathematical Teh
𞸖 Arabic Mathematical Theh
𞸗 Arabic Mathematical Khah
𞸘 Arabic Mathematical Thal
𞸙 Arabic Mathematical Dad
𞸚 Arabic Mathematical Zah
𞸛 Arabic Mathematical Ghain
𞸜 Arabic Mathematical Dotless Beh
𞸝 Arabic Mathematical Dotless Noon
𞸞 Arabic Mathematical Dotless Feh
𞸟 Arabic Mathematical Dotless Qaf
𞸡 Arabic Mathematical Initial Beh
𞸢 Arabic Mathematical Initial Jeem
𞸤 Arabic Mathematical Initial Heh
𞸧 Arabic Mathematical Initial Hah
𞸩 Arabic Mathematical Initial Yeh
𞸪 Arabic Mathematical Initial Kaf
𞸫 Arabic Mathematical Initial Lam
𞸬 Arabic Mathematical Initial Meem
𞸭 Arabic Mathematical Initial Noon
𞸮 Arabic Mathematical Initial Seen
𞸯 Arabic Mathematical Initial Ain
𞸰 Arabic Mathematical Initial Feh
𞸱 Arabic Mathematical Initial Sad
𞸲 Arabic Mathematical Initial Qaf
𞸴 Arabic Mathematical Initial Sheen
𞸵 Arabic Mathematical Initial Teh
𞸶 Arabic Mathematical Initial Theh
𞸷 Arabic Mathematical Initial Khah
𞸹 Arabic Mathematical Initial Dad
𞸻 Arabic Mathematical Initial Ghain
𞹂 Arabic Mathematical Tailed Jeem
𞹇 Arabic Mathematical Tailed Hah
𞹉 Arabic Mathematical Tailed Yeh
𞹋 Arabic Mathematical Tailed Lam
𞹍 Arabic Mathematical Tailed Noon
𞹎 Arabic Mathematical Tailed Seen
𞹏 Arabic Mathematical Tailed Ain
𞹑 Arabic Mathematical Tailed Sad
𞹒 Arabic Mathematical Tailed Qaf
𞹔 Arabic Mathematical Tailed Sheen
𞹗 Arabic Mathematical Tailed Khah
𞹙 Arabic Mathematical Tailed Dad
𞹛 Arabic Mathematical Tailed Ghain
𞹝 Arabic Mathematical Tailed Dotless Noon
𞹟 Arabic Mathematical Tailed Dotless Qaf
𞹡 Arabic Mathematical Stretched Beh
𞹢 Arabic Mathematical Stretched Jeem
𞹤 Arabic Mathematical Stretched Heh
𞹧 Arabic Mathematical Stretched Hah
𞹨 Arabic Mathematical Stretched Tah
𞹩 Arabic Mathematical Stretched Yeh
𞹪 Arabic Mathematical Stretched Kaf
𞹬 Arabic Mathematical Stretched Meem
𞹭 Arabic Mathematical Stretched Noon
𞹮 Arabic Mathematical Stretched Seen
𞹯 Arabic Mathematical Stretched Ain
𞹰 Arabic Mathematical Stretched Feh
𞹱 Arabic Mathematical Stretched Sad
𞹲 Arabic Mathematical Stretched Qaf
𞹴 Arabic Mathematical Stretched Sheen
𞹵 Arabic Mathematical Stretched Teh
𞹶 Arabic Mathematical Stretched Theh
𞹷 Arabic Mathematical Stretched Khah
𞹹 Arabic Mathematical Stretched Dad
𞹺 Arabic Mathematical Stretched Zah
𞹻 Arabic Mathematical Stretched Ghain
𞹼 Arabic Mathematical Stretched Dotless Beh
𞹾 Arabic Mathematical Stretched Dotless Feh
𞺀 Arabic Mathematical Looped Alef
𞺁 Arabic Mathematical Looped Beh
𞺂 Arabic Mathematical Looped Jeem
𞺃 Arabic Mathematical Looped Dal
𞺄 Arabic Mathematical Looped Heh
𞺅 Arabic Mathematical Looped Waw
𞺆 Arabic Mathematical Looped Zain
𞺇 Arabic Mathematical Looped Hah
𞺈 Arabic Mathematical Looped Tah
𞺉 Arabic Mathematical Looped Yeh
𞺋 Arabic Mathematical Looped Lam
𞺌 Arabic Mathematical Looped Meem
𞺍 Arabic Mathematical Looped Noon
𞺎 Arabic Mathematical Looped Seen
𞺏 Arabic Mathematical Looped Ain
𞺐 Arabic Mathematical Looped Feh
𞺑 Arabic Mathematical Looped Sad
𞺒 Arabic Mathematical Looped Qaf
𞺓 Arabic Mathematical Looped Reh
𞺔 Arabic Mathematical Looped Sheen
𞺕 Arabic Mathematical Looped Teh
𞺖 Arabic Mathematical Looped Theh
𞺗 Arabic Mathematical Looped Khah
𞺘 Arabic Mathematical Looped Thal
𞺙 Arabic Mathematical Looped Dad
𞺚 Arabic Mathematical Looped Zah
𞺛 Arabic Mathematical Looped Ghain
𞺡 Arabic Mathematical Double-Struck Beh
𞺢 Arabic Mathematical Double-Struck Jeem
𞺣 Arabic Mathematical Double-Struck Dal
𞺥 Arabic Mathematical Double-Struck Waw
𞺦 Arabic Mathematical Double-Struck Zain
𞺧 Arabic Mathematical Double-Struck Hah
𞺨 Arabic Mathematical Double-Struck Tah
𞺩 Arabic Mathematical Double-Struck Yeh
𞺫 Arabic Mathematical Double-Struck Lam
𞺬 Arabic Mathematical Double-Struck Meem
𞺭 Arabic Mathematical Double-Struck Noon
𞺮 Arabic Mathematical Double-Struck Seen
𞺯 Arabic Mathematical Double-Struck Ain
𞺰 Arabic Mathematical Double-Struck Feh
𞺱 Arabic Mathematical Double-Struck Sad
𞺲 Arabic Mathematical Double-Struck Qaf
𞺳 Arabic Mathematical Double-Struck Reh
𞺴 Arabic Mathematical Double-Struck Sheen
𞺵 Arabic Mathematical Double-Struck Teh
𞺶 Arabic Mathematical Double-Struck Theh
𞺷 Arabic Mathematical Double-Struck Khah
𞺸 Arabic Mathematical Double-Struck Thal
𞺹 Arabic Mathematical Double-Struck Dad
𞺺 Arabic Mathematical Double-Struck Zah
𞺻 Arabic Mathematical Double-Struck Ghain
𞻰 Arabic Mathematical Operator Meem With Hah With Tatweel
𞻱 Arabic Mathematical Operator Hah With Dal
