ﮄ Arabic Letter Dahal Isolated Form
ﯩ Arabic Letter Uighur Kazakh Kirghiz Alef Maksura Medial Form
ﮅ Arabic Letter Dahal Final Form
ﯪ Arabic Ligature Yeh With Hamza Above With Alef Isolated Form
ﮆ Arabic Letter Dul Isolated Form
ﯫ Arabic Ligature Yeh With Hamza Above With Alef Final Form
ﮇ Arabic Letter Dul Final Form
ﯬ Arabic Ligature Yeh With Hamza Above With Ae Isolated Form
ﮈ Arabic Letter Ddal Isolated Form
ﯭ Arabic Ligature Yeh With Hamza Above With Ae Final Form
ﮉ Arabic Letter Ddal Final Form
ﯮ Arabic Ligature Yeh With Hamza Above With Waw Isolated Form
ﮊ Arabic Letter Jeh Isolated Form
ﯯ Arabic Ligature Yeh With Hamza Above With Waw Final Form
ﮋ Arabic Letter Jeh Final Form
ﯰ Arabic Ligature Yeh With Hamza Above With U Isolated Form
ﮌ Arabic Letter Rreh Isolated Form
ﯱ Arabic Ligature Yeh With Hamza Above With U Final Form
ﮍ Arabic Letter Rreh Final Form
ﯲ Arabic Ligature Yeh With Hamza Above With Oe Isolated Form
ﮎ Arabic Letter Keheh Isolated Form
ﯳ Arabic Ligature Yeh With Hamza Above With Oe Final Form
ﮏ Arabic Letter Keheh Final Form
ﯴ Arabic Ligature Yeh With Hamza Above With Yu Isolated Form
ﮐ Arabic Letter Keheh Initial Form
ﯵ Arabic Ligature Yeh With Hamza Above With Yu Final Form
ﮑ Arabic Letter Keheh Medial Form
ﯶ Arabic Ligature Yeh With Hamza Above With E Isolated Form
ﮒ Arabic Letter Gaf Isolated Form
ﯷ Arabic Ligature Yeh With Hamza Above With E Final Form
ﮓ Arabic Letter Gaf Final Form
ﯸ Arabic Ligature Yeh With Hamza Above With E Initial Form
ﮔ Arabic Letter Gaf Initial Form
ﯹ Arabic Ligature Uighur Kirghiz Yeh With Hamza Above With Alef Maksura Isolated Form
ﮕ Arabic Letter Gaf Medial Form
ﯺ Arabic Ligature Uighur Kirghiz Yeh With Hamza Above With Alef Maksura Final Form
ﮖ Arabic Letter Gueh Isolated Form
ﯻ Arabic Ligature Uighur Kirghiz Yeh With Hamza Above With Alef Maksura Initial Form
ﮗ Arabic Letter Gueh Final Form
ﯼ Arabic Letter Farsi Yeh Isolated Form
ﮘ Arabic Letter Gueh Initial Form
ﯽ Arabic Letter Farsi Yeh Final Form
ﮙ Arabic Letter Gueh Medial Form
ﯾ Arabic Letter Farsi Yeh Initial Form
ﮚ Arabic Letter Ngoeh Isolated Form
ﯿ Arabic Letter Farsi Yeh Medial Form
ﮛ Arabic Letter Ngoeh Final Form
ﰀ Arabic Ligature Yeh With Hamza Above With Jeem Isolated Form
ﮜ Arabic Letter Ngoeh Initial Form
ﰁ Arabic Ligature Yeh With Hamza Above With Hah Isolated Form
ﮝ Arabic Letter Ngoeh Medial Form
ﰂ Arabic Ligature Yeh With Hamza Above With Meem Isolated Form
ﮞ Arabic Letter Noon Ghunna Isolated Form
ﰃ Arabic Ligature Yeh With Hamza Above With Alef Maksura Isolated Form
ﮟ Arabic Letter Noon Ghunna Final Form
ﰄ Arabic Ligature Yeh With Hamza Above With Yeh Isolated Form
ﮠ Arabic Letter Rnoon Isolated Form
ﰅ Arabic Ligature Beh With Jeem Isolated Form
ﮡ Arabic Letter Rnoon Final Form
ﰆ Arabic Ligature Beh With Hah Isolated Form
ﮢ Arabic Letter Rnoon Initial Form
ﰇ Arabic Ligature Beh With Khah Isolated Form
ﮣ Arabic Letter Rnoon Medial Form
ﰈ Arabic Ligature Beh With Meem Isolated Form
ﮤ Arabic Letter Heh With Yeh Above Isolated Form
ﰉ Arabic Ligature Beh With Alef Maksura Isolated Form
ﮥ Arabic Letter Heh With Yeh Above Final Form
ﰊ Arabic Ligature Beh With Yeh Isolated Form
ﮦ Arabic Letter Heh Goal Isolated Form
ﰋ Arabic Ligature Teh With Jeem Isolated Form
ﮧ Arabic Letter Heh Goal Final Form
ﰌ Arabic Ligature Teh With Hah Isolated Form
ﮨ Arabic Letter Heh Goal Initial Form
ﰍ Arabic Ligature Teh With Khah Isolated Form
ﮩ Arabic Letter Heh Goal Medial Form
ﰎ Arabic Ligature Teh With Meem Isolated Form
ﮪ Arabic Letter Heh Doachashmee Isolated Form
ﰏ Arabic Ligature Teh With Alef Maksura Isolated Form
ﮫ Arabic Letter Heh Doachashmee Final Form
ﰐ Arabic Ligature Teh With Yeh Isolated Form
ﮬ Arabic Letter Heh Doachashmee Initial Form
ﰑ Arabic Ligature Theh With Jeem Isolated Form
ﮭ Arabic Letter Heh Doachashmee Medial Form
ﰒ Arabic Ligature Theh With Meem Isolated Form
ﱧ Arabic Ligature Yeh With Hamza Above With Noon Final Form
ﲻ Arabic Ligature Ain With Meem Initial Form
ﱨ Arabic Ligature Yeh With Hamza Above With Alef Maksura Final Form
ﲼ Arabic Ligature Ghain With Jeem Initial Form
ﱩ Arabic Ligature Yeh With Hamza Above With Yeh Final Form
ﲽ Arabic Ligature Ghain With Meem Initial Form
ﱪ Arabic Ligature Beh With Reh Final Form
ﲾ Arabic Ligature Feh With Jeem Initial Form
ﱫ Arabic Ligature Beh With Zain Final Form
ﲿ Arabic Ligature Feh With Hah Initial Form
ﱬ Arabic Ligature Beh With Meem Final Form
ﳀ Arabic Ligature Feh With Khah Initial Form
ﱭ Arabic Ligature Beh With Noon Final Form
ﳁ Arabic Ligature Feh With Meem Initial Form
ﱮ Arabic Ligature Beh With Alef Maksura Final Form
ﳂ Arabic Ligature Qaf With Hah Initial Form
ﱯ Arabic Ligature Beh With Yeh Final Form
ﳃ Arabic Ligature Qaf With Meem Initial Form
ﱰ Arabic Ligature Teh With Reh Final Form
ﳄ Arabic Ligature Kaf With Jeem Initial Form
ﱱ Arabic Ligature Teh With Zain Final Form
ﳅ Arabic Ligature Kaf With Hah Initial Form
ﱲ Arabic Ligature Teh With Meem Final Form
ﳆ Arabic Ligature Kaf With Khah Initial Form
ﱳ Arabic Ligature Teh With Noon Final Form
ﳇ Arabic Ligature Kaf With Lam Initial Form
ﱴ Arabic Ligature Teh With Alef Maksura Final Form
ﳈ Arabic Ligature Kaf With Meem Initial Form
ﱵ Arabic Ligature Teh With Yeh Final Form
ﳉ Arabic Ligature Lam With Jeem Initial Form
ﱶ Arabic Ligature Theh With Reh Final Form
ﳊ Arabic Ligature Lam With Hah Initial Form
ﱷ Arabic Ligature Theh With Zain Final Form
