ﹾ Arabic Sukun Isolated Form
ﺨ Arabic Letter Khah Medial Form
ﹿ Arabic Sukun Medial Form
ﺩ Arabic Letter Dal Isolated Form
ﺀ Arabic Letter Hamza Isolated Form
ﺪ Arabic Letter Dal Final Form
ﺁ Arabic Letter Alef With Madda Above Isolated Form
ﺫ Arabic Letter Thal Isolated Form
ﺂ Arabic Letter Alef With Madda Above Final Form
ﺬ Arabic Letter Thal Final Form
ﺃ Arabic Letter Alef With Hamza Above Isolated Form
ﺭ Arabic Letter Reh Isolated Form
ﺄ Arabic Letter Alef With Hamza Above Final Form
ﺮ Arabic Letter Reh Final Form
ﺅ Arabic Letter Waw With Hamza Above Isolated Form
ﺯ Arabic Letter Zain Isolated Form
ﺆ Arabic Letter Waw With Hamza Above Final Form
ﺰ Arabic Letter Zain Final Form
ﺇ Arabic Letter Alef With Hamza Below Isolated Form
ﺱ Arabic Letter Seen Isolated Form
ﺈ Arabic Letter Alef With Hamza Below Final Form
ﺲ Arabic Letter Seen Final Form
ﺉ Arabic Letter Yeh With Hamza Above Isolated Form
ﺳ Arabic Letter Seen Initial Form
ﺊ Arabic Letter Yeh With Hamza Above Final Form
ﺴ Arabic Letter Seen Medial Form
ﺋ Arabic Letter Yeh With Hamza Above Initial Form
ﺵ Arabic Letter Sheen Isolated Form
ﺌ Arabic Letter Yeh With Hamza Above Medial Form
ﺶ Arabic Letter Sheen Final Form
ﺍ Arabic Letter Alef Isolated Form
ﺷ Arabic Letter Sheen Initial Form
ﺎ Arabic Letter Alef Final Form
ﺸ Arabic Letter Sheen Medial Form
ﺏ Arabic Letter Beh Isolated Form
ﺹ Arabic Letter Sad Isolated Form
ﺐ Arabic Letter Beh Final Form
ﺺ Arabic Letter Sad Final Form
ﺑ Arabic Letter Beh Initial Form
ﺻ Arabic Letter Sad Initial Form
ﺼ Arabic Letter Sad Medial Form
ﺒ Arabic Letter Beh Medial Form
ﺓ Arabic Letter Teh Marbuta Isolated Form
ﺽ Arabic Letter Dad Isolated Form
ﺔ Arabic Letter Teh Marbuta Final Form
ﺾ Arabic Letter Dad Final Form
ﺕ Arabic Letter Teh Isolated Form
ﺿ Arabic Letter Dad Initial Form
ﺖ Arabic Letter Teh Final Form
ﻀ Arabic Letter Dad Medial Form
ﺗ Arabic Letter Teh Initial Form
ﻁ Arabic Letter Tah Isolated Form
ﺘ Arabic Letter Teh Medial Form
ﻂ Arabic Letter Tah Final Form
ﺙ Arabic Letter Theh Isolated Form
ﻃ Arabic Letter Tah Initial Form
ﺚ Arabic Letter Theh Final Form
ﻄ Arabic Letter Tah Medial Form
ﹰ Arabic Fathatan Isolated Form
ﺛ Arabic Letter Theh Initial Form
ﻅ Arabic Letter Zah Isolated Form
ﹱ Arabic Tatweel With Fathatan Above
ﺜ Arabic Letter Theh Medial Form
ﻆ Arabic Letter Zah Final Form
ﹲ Arabic Dammatan Isolated Form
ﺝ Arabic Letter Jeem Isolated Form
ﻇ Arabic Letter Zah Initial Form
ﹳ Arabic Tail Fragment
ﺞ Arabic Letter Jeem Final Form
ﻈ Arabic Letter Zah Medial Form
ﹴ Arabic Kasratan Isolated Form
ﺟ Arabic Letter Jeem Initial Form
ﻉ Arabic Letter Ain Isolated Form
ﹶ Arabic Fatha Isolated Form
ﺠ Arabic Letter Jeem Medial Form
ﻊ Arabic Letter Ain Final Form
ﹷ Arabic Fatha Medial Form
ﺡ Arabic Letter Hah Isolated Form
ﻋ Arabic Letter Ain Initial Form
ﹸ Arabic Damma Isolated Form
ﺢ Arabic Letter Hah Final Form
ﻌ Arabic Letter Ain Medial Form
ﹹ Arabic Damma Medial Form
ﺣ Arabic Letter Hah Initial Form
ﻍ Arabic Letter Ghain Isolated Form
ﹺ Arabic Kasra Isolated Form
ﺤ Arabic Letter Hah Medial Form
ﻎ Arabic Letter Ghain Final Form
ﹻ Arabic Kasra Medial Form
ﺥ Arabic Letter Khah Isolated Form
ﻏ Arabic Letter Ghain Initial Form
ﹼ Arabic Shadda Isolated Form
ﺦ Arabic Letter Khah Final Form
ﻐ Arabic Letter Ghain Medial Form
ﺧ Arabic Letter Khah Initial Form
ﹽ Arabic Shadda Medial Form
ﻑ Arabic Letter Feh Isolated Form
ﻒ Arabic Letter Feh Final Form
ﻼ Arabic Ligature Lam With Alef Final Form
ﻓ Arabic Letter Feh Initial Form
﻿ Zero Width No-Break Space
ﻔ Arabic Letter Feh Medial Form
ﻕ Arabic Letter Qaf Isolated Form
ﻖ Arabic Letter Qaf Final Form
ﻗ Arabic Letter Qaf Initial Form
ﻘ Arabic Letter Qaf Medial Form
ﻙ Arabic Letter Kaf Isolated Form
ﻚ Arabic Letter Kaf Final Form
ﻛ Arabic Letter Kaf Initial Form
ﻜ Arabic Letter Kaf Medial Form
ﻝ Arabic Letter Lam Isolated Form
ﻞ Arabic Letter Lam Final Form
ﻟ Arabic Letter Lam Initial Form
ﻠ Arabic Letter Lam Medial Form
ﻡ Arabic Letter Meem Isolated Form
ﻢ Arabic Letter Meem Final Form
ﻣ Arabic Letter Meem Initial Form
ﻤ Arabic Letter Meem Medial Form
ﻥ Arabic Letter Noon Isolated Form
ﻦ Arabic Letter Noon Final Form
ﻧ Arabic Letter Noon Initial Form
ﻨ Arabic Letter Noon Medial Form
ﻩ Arabic Letter Heh Isolated Form
ﻪ Arabic Letter Heh Final Form
ﻫ Arabic Letter Heh Initial Form
ﻬ Arabic Letter Heh Medial Form
ﻭ Arabic Letter Waw Isolated Form
ﻮ Arabic Letter Waw Final Form
ﻯ Arabic Letter Alef Maksura Isolated Form
ﻰ Arabic Letter Alef Maksura Final Form
