ঀ Bengali Anji
ঁ Bengali Sign Candrabindu
ং Bengali Sign Anusvara
ঃ Bengali Sign Visarga
অ Bengali Letter A
আ Bengali Letter Aa
ই Bengali Letter I
ঈ Bengali Letter Ii
উ Bengali Letter U
ঊ Bengali Letter Uu
ঋ Bengali Letter Vocalic R
ঌ Bengali Letter Vocalic L
এ Bengali Letter E
ঐ Bengali Letter Ai
ও Bengali Letter O
ঔ Bengali Letter Au
ক Bengali Letter Ka
খ Bengali Letter Kha
গ Bengali Letter Ga
ঘ Bengali Letter Gha
ঙ Bengali Letter Nga
চ Bengali Letter Ca
ছ Bengali Letter Cha
জ Bengali Letter Ja
ঝ Bengali Letter Jha
ঞ Bengali Letter Nya
ট Bengali Letter Tta
ঠ Bengali Letter Ttha
ড Bengali Letter Dda
ঢ Bengali Letter Ddha
ণ Bengali Letter Nna
ত Bengali Letter Ta
থ Bengali Letter Tha
দ Bengali Letter Da
ধ Bengali Letter Dha
ন Bengali Letter Na
প Bengali Letter Pa
৭ Bengali Digit Seven
ফ Bengali Letter Pha
৮ Bengali Digit Eight
ব Bengali Letter Ba
৯ Bengali Digit Nine
ভ Bengali Letter Bha
ৰ Bengali Letter Ra With Middle Diagonal
ম Bengali Letter Ma
ৱ Bengali Letter Ra With Lower Diagonal
য Bengali Letter Ya
৲ Bengali Rupee Mark
র Bengali Letter Ra
৳ Bengali Rupee Sign
ল Bengali Letter La
৴ Bengali Currency Numerator One
শ Bengali Letter Sha
৵ Bengali Currency Numerator Two
ষ Bengali Letter Ssa
৶ Bengali Currency Numerator Three
স Bengali Letter Sa
৷ Bengali Currency Numerator Four
হ Bengali Letter Ha
৸ Bengali Currency Numerator One Less Than The Denominator
় Bengali Sign Nukta
৹ Bengali Currency Denominator Sixteen
ঽ Bengali Sign Avagraha
৺ Bengali Isshar
া Bengali Vowel Sign Aa
৻ Bengali Ganda Mark
ি Bengali Vowel Sign I
ৼ Bengali Letter Vedic Anusvara
ী Bengali Vowel Sign Ii
৽ Bengali Abbreviation Sign
ু Bengali Vowel Sign U
৾ Bengali Sandhi Mark
ূ Bengali Vowel Sign Uu
ৃ Bengali Vowel Sign Vocalic R
ৄ Bengali Vowel Sign Vocalic Rr
ে Bengali Vowel Sign E
ৈ Bengali Vowel Sign Ai
ো Bengali Vowel Sign O
ৌ Bengali Vowel Sign Au
্ Bengali Sign Virama
ৎ Bengali Letter Khanda Ta
ৗ Bengali Au Length Mark
ড় Bengali Letter Rra
ঢ় Bengali Letter Rha
য় Bengali Letter Yya
ৠ Bengali Letter Vocalic Rr
ৡ Bengali Letter Vocalic Ll
ৢ Bengali Vowel Sign Vocalic L
ৣ Bengali Vowel Sign Vocalic Ll
০ Bengali Digit Zero
১ Bengali Digit One
২ Bengali Digit Two
৩ Bengali Digit Three
৪ Bengali Digit Four
৫ Bengali Digit Five
৬ Bengali Digit Six
