𑀕 Brahmi Letter Ga
𑁭 Brahmi Digit Seven
𑀖 Brahmi Letter Gha
𑁮 Brahmi Digit Eight
𑀗 Brahmi Letter Nga
𑁯 Brahmi Digit Nine
𑀘 Brahmi Letter Ca
𑁿 Brahmi Number Joiner
𑀙 Brahmi Letter Cha
𑀚 Brahmi Letter Ja
𑀛 Brahmi Letter Jha
𑀜 Brahmi Letter Nya
𑀝 Brahmi Letter Tta
𑀞 Brahmi Letter Ttha
𑀟 Brahmi Letter Dda
𑀠 Brahmi Letter Ddha
𑀡 Brahmi Letter Nna
𑀢 Brahmi Letter Ta
𑀣 Brahmi Letter Tha
𑀤 Brahmi Letter Da
𑀥 Brahmi Letter Dha
𑀦 Brahmi Letter Na
𑀧 Brahmi Letter Pa
𑀨 Brahmi Letter Pha
𑀩 Brahmi Letter Ba
𑀀 Brahmi Sign Candrabindu
𑀪 Brahmi Letter Bha
𑀁 Brahmi Sign Anusvara
𑀫 Brahmi Letter Ma
𑀂 Brahmi Sign Visarga
𑀬 Brahmi Letter Ya
𑀃 Brahmi Sign Jihvamuliya
𑀭 Brahmi Letter Ra
𑀄 Brahmi Sign Upadhmaniya
𑀮 Brahmi Letter La
𑀅 Brahmi Letter A
𑀯 Brahmi Letter Va
𑀆 Brahmi Letter Aa
𑀰 Brahmi Letter Sha
𑀇 Brahmi Letter I
𑀱 Brahmi Letter Ssa
𑀈 Brahmi Letter Ii
𑀲 Brahmi Letter Sa
𑀉 Brahmi Letter U
𑀳 Brahmi Letter Ha
𑀊 Brahmi Letter Uu
𑀴 Brahmi Letter Lla
𑀋 Brahmi Letter Vocalic R
𑀵 Brahmi Letter Old Tamil Llla
𑀌 Brahmi Letter Vocalic Rr
𑀶 Brahmi Letter Old Tamil Rra
𑀍 Brahmi Letter Vocalic L
𑀷 Brahmi Letter Old Tamil Nnna
𑀎 Brahmi Letter Vocalic Ll
𑀸 Brahmi Vowel Sign Aa
𑀏 Brahmi Letter E
𑀹 Brahmi Vowel Sign Bhattiprolu Aa
𑀐 Brahmi Letter Ai
𑀺 Brahmi Vowel Sign I
𑀑 Brahmi Letter O
𑀻 Brahmi Vowel Sign Ii
𑀒 Brahmi Letter Au
𑀼 Brahmi Vowel Sign U
𑀓 Brahmi Letter Ka
𑀽 Brahmi Vowel Sign Uu
𑀾 Brahmi Vowel Sign Vocalic R
𑀔 Brahmi Letter Kha
𑀿 Brahmi Vowel Sign Vocalic Rr
𑁀 Brahmi Vowel Sign Vocalic L
𑁁 Brahmi Vowel Sign Vocalic Ll
𑁂 Brahmi Vowel Sign E
𑁃 Brahmi Vowel Sign Ai
𑁄 Brahmi Vowel Sign O
𑁅 Brahmi Vowel Sign Au
𑁆 Brahmi Virama
𑁇 Brahmi Danda
𑁈 Brahmi Double Danda
𑁉 Brahmi Punctuation Dot
𑁊 Brahmi Punctuation Double Dot
𑁋 Brahmi Punctuation Line
𑁌 Brahmi Punctuation Crescent Bar
𑁍 Brahmi Punctuation Lotus
𑁒 Brahmi Number One
𑁓 Brahmi Number Two
𑁔 Brahmi Number Three
𑁕 Brahmi Number Four
𑁖 Brahmi Number Five
𑁗 Brahmi Number Six
𑁘 Brahmi Number Seven
𑁙 Brahmi Number Eight
𑁚 Brahmi Number Nine
𑁛 Brahmi Number Ten
𑁜 Brahmi Number Twenty
𑁝 Brahmi Number Thirty
𑁞 Brahmi Number Forty
𑁟 Brahmi Number Fifty
𑁠 Brahmi Number Sixty
𑁡 Brahmi Number Seventy
𑁢 Brahmi Number Eighty
𑁣 Brahmi Number Ninety
𑁤 Brahmi Number One Hundred
𑁥 Brahmi Number One Thousand
𑁦 Brahmi Digit Zero
𑁧 Brahmi Digit One
𑁨 Brahmi Digit Two
𑁩 Brahmi Digit Three
𑁪 Brahmi Digit Four
𑁫 Brahmi Digit Five
𑁬 Brahmi Digit Six
