⠀ Braille Pattern Blank
⠁ Braille Pattern Dots-1
⠂ Braille Pattern Dots-2
⠃ Braille Pattern Dots-12
⠄ Braille Pattern Dots-3
⠅ Braille Pattern Dots-13
⠆ Braille Pattern Dots-23
⠇ Braille Pattern Dots-123
⠈ Braille Pattern Dots-4
⠉ Braille Pattern Dots-14
⠊ Braille Pattern Dots-24
⠋ Braille Pattern Dots-124
⠌ Braille Pattern Dots-34
⠍ Braille Pattern Dots-134
⠎ Braille Pattern Dots-234
⠏ Braille Pattern Dots-1234
⠐ Braille Pattern Dots-5
⠑ Braille Pattern Dots-15
⠒ Braille Pattern Dots-25
⠓ Braille Pattern Dots-125
⠔ Braille Pattern Dots-35
⠕ Braille Pattern Dots-135
⠖ Braille Pattern Dots-235
⠗ Braille Pattern Dots-1235
⠘ Braille Pattern Dots-45
⠙ Braille Pattern Dots-145
⠚ Braille Pattern Dots-245
⠛ Braille Pattern Dots-1245
⠜ Braille Pattern Dots-345
⠝ Braille Pattern Dots-1345
⠞ Braille Pattern Dots-2345
⠟ Braille Pattern Dots-12345
⠠ Braille Pattern Dots-6
⠡ Braille Pattern Dots-16
⠢ Braille Pattern Dots-26
⠣ Braille Pattern Dots-126
⠤ Braille Pattern Dots-36
⠥ Braille Pattern Dots-136
⠦ Braille Pattern Dots-236
⠧ Braille Pattern Dots-1236
⠨ Braille Pattern Dots-46
⠩ Braille Pattern Dots-146
⠪ Braille Pattern Dots-246
⠫ Braille Pattern Dots-1246
⠬ Braille Pattern Dots-346
⠭ Braille Pattern Dots-1346
⠮ Braille Pattern Dots-2346
⠯ Braille Pattern Dots-12346
⠰ Braille Pattern Dots-56
⠱ Braille Pattern Dots-156
⠲ Braille Pattern Dots-256
⠳ Braille Pattern Dots-1256
⠴ Braille Pattern Dots-356
⠵ Braille Pattern Dots-1356
⠶ Braille Pattern Dots-2356
⠷ Braille Pattern Dots-12356
⠸ Braille Pattern Dots-456
⠹ Braille Pattern Dots-1456
⠺ Braille Pattern Dots-2456
⠻ Braille Pattern Dots-12456
⠼ Braille Pattern Dots-3456
⠽ Braille Pattern Dots-13456
⠾ Braille Pattern Dots-23456
⠿ Braille Pattern Dots-123456
⡀ Braille Pattern Dots-7
⡁ Braille Pattern Dots-17
⡂ Braille Pattern Dots-27
⡃ Braille Pattern Dots-127
⡄ Braille Pattern Dots-37
⡅ Braille Pattern Dots-137
⡆ Braille Pattern Dots-237
⡇ Braille Pattern Dots-1237
⡈ Braille Pattern Dots-47
