𐊺 Carian Letter E
𐊥 Carian Letter R
𐋏 Carian Letter E2
𐊻 Carian Letter Uuuu
𐊦 Carian Letter Ld
𐋐 Carian Letter Uuu3
𐊼 Carian Letter K
𐊧 Carian Letter A2
𐊽 Carian Letter K2
𐊨 Carian Letter Q
𐊾 Carian Letter Nd
𐊩 Carian Letter B
𐊿 Carian Letter Uu
𐊪 Carian Letter M
𐋀 Carian Letter G
𐊫 Carian Letter O
𐋁 Carian Letter G2
𐊬 Carian Letter D2
𐋂 Carian Letter St
𐋎 Carian Letter Ld2
𐊭 Carian Letter T
𐋃 Carian Letter St2
𐊮 Carian Letter Sh
𐋄 Carian Letter Ng
𐊯 Carian Letter Sh2
𐋅 Carian Letter Ii
𐊰 Carian Letter S
𐋆 Carian Letter C-39
𐊱 Carian Letter C-18
𐋇 Carian Letter Tt
𐊲 Carian Letter U
𐋈 Carian Letter Uuu2
𐊳 Carian Letter Nn
𐋉 Carian Letter Rr
𐊴 Carian Letter X
𐊠 Carian Letter A
𐋊 Carian Letter Mb
𐊵 Carian Letter N
𐊡 Carian Letter P2
𐋋 Carian Letter Mb2
𐊶 Carian Letter Tt2
𐊢 Carian Letter D
𐋌 Carian Letter Mb3
𐊷 Carian Letter P
𐊣 Carian Letter L
𐋍 Carian Letter Mb4
𐊸 Carian Letter Ss
𐊤 Carian Letter Uuu
𐊹 Carian Letter I
