𑄩 Chakma Vowel Sign Ii
𑄔 Chakma Letter Ddhaa
𑄿 Chakma Digit Nine
𑄀 Chakma Sign Candrabindu
𑄪 Chakma Vowel Sign U
𑄕 Chakma Letter Nnaa
𑅀 Chakma Section Mark
𑄁 Chakma Sign Anusvara
𑄫 Chakma Vowel Sign Uu
𑄖 Chakma Letter Taa
𑅁 Chakma Danda
𑄂 Chakma Sign Visarga
𑄬 Chakma Vowel Sign E
𑄗 Chakma Letter Thaa
𑅂 Chakma Double Danda
𑄃 Chakma Letter Aa
𑄭 Chakma Vowel Sign Ai
𑄘 Chakma Letter Daa
𑅃 Chakma Question Mark
𑄄 Chakma Letter I
𑄮 Chakma Vowel Sign O
𑄙 Chakma Letter Dhaa
𑅄 Chakma Letter Lhaa
𑄅 Chakma Letter U
𑄯 Chakma Vowel Sign Au
𑄚 Chakma Letter Naa
𑅅 Chakma Vowel Sign Aa
𑄆 Chakma Letter E
𑄰 Chakma Vowel Sign Oi
𑄛 Chakma Letter Paa
𑅆 Chakma Vowel Sign Ei
𑄇 Chakma Letter Kaa
𑄱 Chakma O Mark
𑄜 Chakma Letter Phaa
𑄈 Chakma Letter Khaa
𑄲 Chakma Au Mark
𑄝 Chakma Letter Baa
𑄉 Chakma Letter Gaa
𑄳 Chakma Virama
𑄞 Chakma Letter Bhaa
𑄾 Chakma Digit Eight
𑄊 Chakma Letter Ghaa
𑄴 Chakma Maayyaa
𑄟 Chakma Letter Maa
𑄋 Chakma Letter Ngaa
𑄶 Chakma Digit Zero
𑄠 Chakma Letter Yyaa
𑄌 Chakma Letter Caa
𑄷 Chakma Digit One
𑄡 Chakma Letter Yaa
𑄍 Chakma Letter Chaa
𑄸 Chakma Digit Two
𑄢 Chakma Letter Raa
𑄎 Chakma Letter Jaa
𑄹 Chakma Digit Three
𑄣 Chakma Letter Laa
𑄏 Chakma Letter Jhaa
𑄺 Chakma Digit Four
𑄤 Chakma Letter Waa
𑄐 Chakma Letter Nyaa
𑄻 Chakma Digit Five
𑄥 Chakma Letter Saa
𑄑 Chakma Letter Ttaa
𑄼 Chakma Digit Six
𑄦 Chakma Letter Haa
𑄒 Chakma Letter Tthaa
𑄽 Chakma Digit Seven
𑄧 Chakma Vowel Sign A
𑄓 Chakma Letter Ddaa
𑄨 Chakma Vowel Sign I
