⺀ Cjk Radical Repeat
⺁ Cjk Radical Cliff
⺂ Cjk Radical Second One
⺃ Cjk Radical Second Two
⺄ Cjk Radical Second Three
⺅ Cjk Radical Person
⺆ Cjk Radical Box
⺇ Cjk Radical Table
⺈ Cjk Radical Knife One
⺉ Cjk Radical Knife Two
⺊ Cjk Radical Divination
⺋ Cjk Radical Seal
⺌ Cjk Radical Small One
⺍ Cjk Radical Small Two
⺎ Cjk Radical Lame One
⺏ Cjk Radical Lame Two
⺐ Cjk Radical Lame Three
⺑ Cjk Radical Lame Four
⺒ Cjk Radical Snake
⺓ Cjk Radical Thread
⺔ Cjk Radical Snout One
⺕ Cjk Radical Snout Two
⺖ Cjk Radical Heart One
⺗ Cjk Radical Heart Two
⺘ Cjk Radical Hand
⺙ Cjk Radical Rap
⺛ Cjk Radical Choke
⺜ Cjk Radical Sun
⺝ Cjk Radical Moon
⺞ Cjk Radical Death
⺟ Cjk Radical Mother
⺠ Cjk Radical Civilian
⺡ Cjk Radical Water One
⺢ Cjk Radical Water Two
⺣ Cjk Radical Fire
⺤ Cjk Radical Paw One
⻎ Cjk Radical Walk Two
⺥ Cjk Radical Paw Two
⻏ Cjk Radical City
⺦ Cjk Radical Simplified Half Tree Trunk
⻐ Cjk Radical C-Simplified Gold
⺧ Cjk Radical Cow
⻑ Cjk Radical Long One
⺨ Cjk Radical Dog
⻒ Cjk Radical Long Two
⺩ Cjk Radical Jade
⻓ Cjk Radical C-Simplified Long
⺪ Cjk Radical Bolt Of Cloth
⻔ Cjk Radical C-Simplified Gate
⺫ Cjk Radical Eye
⻕ Cjk Radical Mound One
⺬ Cjk Radical Spirit One
⻖ Cjk Radical Mound Two
⺭ Cjk Radical Spirit Two
⻗ Cjk Radical Rain
⺮ Cjk Radical Bamboo
⻘ Cjk Radical Blue
⺯ Cjk Radical Silk
⻙ Cjk Radical C-Simplified Tanned Leather
⺰ Cjk Radical C-Simplified Silk
⻚ Cjk Radical C-Simplified Leaf
⺱ Cjk Radical Net One
⻛ Cjk Radical C-Simplified Wind
⺲ Cjk Radical Net Two
⻜ Cjk Radical C-Simplified Fly
⺳ Cjk Radical Net Three
⻝ Cjk Radical Eat One
⺴ Cjk Radical Net Four
⻞ Cjk Radical Eat Two
⺵ Cjk Radical Mesh
⻟ Cjk Radical Eat Three
⺶ Cjk Radical Sheep
⻠ Cjk Radical C-Simplified Eat
⺷ Cjk Radical Ram
⻡ Cjk Radical Head
⺸ Cjk Radical Ewe
⻢ Cjk Radical C-Simplified Horse
⺹ Cjk Radical Old
⻣ Cjk Radical Bone
⺺ Cjk Radical Brush One
⻤ Cjk Radical Ghost
⺻ Cjk Radical Brush Two
⻥ Cjk Radical C-Simplified Fish
⺼ Cjk Radical Meat
⻦ Cjk Radical C-Simplified Bird
⺽ Cjk Radical Mortar
⻧ Cjk Radical C-Simplified Salt
⺾ Cjk Radical Grass One
⻨ Cjk Radical Simplified Wheat
⺿ Cjk Radical Grass Two
⻩ Cjk Radical Simplified Yellow
⻀ Cjk Radical Grass Three
⻪ Cjk Radical C-Simplified Frog
⻁ Cjk Radical Tiger
⻫ Cjk Radical J-Simplified Even
⻂ Cjk Radical Clothes
⻬ Cjk Radical C-Simplified Even
⻃ Cjk Radical West One
⻭ Cjk Radical J-Simplified Tooth
⻄ Cjk Radical West Two
⻮ Cjk Radical C-Simplified Tooth
⻅ Cjk Radical C-Simplified See
⻯ Cjk Radical J-Simplified Dragon
⻆ Cjk Radical Simplified Horn
⻰ Cjk Radical C-Simplified Dragon
⻇ Cjk Radical Horn
⻱ Cjk Radical Turtle
⻈ Cjk Radical C-Simplified Speech
⻲ Cjk Radical J-Simplified Turtle
⻉ Cjk Radical C-Simplified Shell
⻳ Cjk Radical C-Simplified Turtle
⻊ Cjk Radical Foot
⻋ Cjk Radical C-Simplified Cart
⻌ Cjk Radical Simplified Walk
⻍ Cjk Radical Walk One
