㇑ Cjk Stroke S
㇒ Cjk Stroke P
㇓ Cjk Stroke Sp
㇔ Cjk Stroke D
㇀ Cjk Stroke T
㇕ Cjk Stroke Hz
㇁ Cjk Stroke Wg
㇖ Cjk Stroke Hg
㇂ Cjk Stroke Xg
㇗ Cjk Stroke Sz
㇃ Cjk Stroke Bxg
㇘ Cjk Stroke Swz
㇄ Cjk Stroke Sw
㇙ Cjk Stroke St
㇅ Cjk Stroke Hzz
㇚ Cjk Stroke Sg
㇆ Cjk Stroke Hzg
㇛ Cjk Stroke Pd
㇇ Cjk Stroke Hp
㇜ Cjk Stroke Pz
㇈ Cjk Stroke Hzwg
㇝ Cjk Stroke Tn
㇉ Cjk Stroke Szwg
㇞ Cjk Stroke Szz
㇊ Cjk Stroke Hzt
㇟ Cjk Stroke Swg
㇋ Cjk Stroke Hzzp
㇠ Cjk Stroke Hxwg
㇌ Cjk Stroke Hpwg
㇡ Cjk Stroke Hzzzg
㇍ Cjk Stroke Hzw
㇢ Cjk Stroke Pg
㇎ Cjk Stroke Hzzz
㇣ Cjk Stroke Q
㇏ Cjk Stroke N
㇐ Cjk Stroke H
