︠ Combining Ligature Left Half
︡ Combining Ligature Right Half
︢ Combining Double Tilde Left Half
︣ Combining Double Tilde Right Half
︤ Combining Macron Left Half
︥ Combining Macron Right Half
︦ Combining Conjoining Macron
︧ Combining Ligature Left Half Below
︨ Combining Ligature Right Half Below
︩ Combining Tilde Left Half Below
︪ Combining Tilde Right Half Below
︫ Combining Macron Left Half Below
︬ Combining Macron Right Half Below
︭ Combining Conjoining Macron Below
︮ Combining Cyrillic Titlo Left Half
︯ Combining Cyrillic Titlo Right Half
