𐋠 Coptic Epact Thousands Mark
𐋡 Coptic Epact Digit One
𐋢 Coptic Epact Digit Two
𐋣 Coptic Epact Digit Three
𐋤 Coptic Epact Digit Four
𐋥 Coptic Epact Digit Five
𐋦 Coptic Epact Digit Six
𐋧 Coptic Epact Digit Seven
𐋨 Coptic Epact Digit Eight
𐋩 Coptic Epact Digit Nine
𐋪 Coptic Epact Number Ten
𐋫 Coptic Epact Number Twenty
𐋬 Coptic Epact Number Thirty
𐋭 Coptic Epact Number Forty
𐋮 Coptic Epact Number Fifty
𐋯 Coptic Epact Number Sixty
𐋰 Coptic Epact Number Seventy
𐋱 Coptic Epact Number Eighty
𐋲 Coptic Epact Number Ninety
𐋳 Coptic Epact Number One Hundred
𐋴 Coptic Epact Number Two Hundred
𐋵 Coptic Epact Number Three Hundred
𐋶 Coptic Epact Number Four Hundred
𐋷 Coptic Epact Number Five Hundred
𐋸 Coptic Epact Number Six Hundred
𐋹 Coptic Epact Number Seven Hundred
𐋺 Coptic Epact Number Eight Hundred
𐋻 Coptic Epact Number Nine Hundred
