ⷠ Combining Cyrillic Letter Be
ⷡ Combining Cyrillic Letter Ve
ⷢ Combining Cyrillic Letter Ghe
ⷣ Combining Cyrillic Letter De
ⷤ Combining Cyrillic Letter Zhe
ⷥ Combining Cyrillic Letter Ze
ⷦ Combining Cyrillic Letter Ka
ⷧ Combining Cyrillic Letter El
ⷨ Combining Cyrillic Letter Em
ⷩ Combining Cyrillic Letter En
ⷪ Combining Cyrillic Letter O
ⷫ Combining Cyrillic Letter Pe
ⷬ Combining Cyrillic Letter Er
ⷭ Combining Cyrillic Letter Es
ⷮ Combining Cyrillic Letter Te
ⷯ Combining Cyrillic Letter Ha
ⷰ Combining Cyrillic Letter Tse
ⷱ Combining Cyrillic Letter Che
ⷲ Combining Cyrillic Letter Sha
ⷳ Combining Cyrillic Letter Shcha
ⷴ Combining Cyrillic Letter Fita
ⷵ Combining Cyrillic Letter Es-Te
ⷶ Combining Cyrillic Letter A
ⷷ Combining Cyrillic Letter Ie
ⷸ Combining Cyrillic Letter Djerv
ⷹ Combining Cyrillic Letter Monograph Uk
ⷺ Combining Cyrillic Letter Yat
ⷻ Combining Cyrillic Letter Yu
ⷼ Combining Cyrillic Letter Iotified A
ⷽ Combining Cyrillic Letter Little Yus
ⷾ Combining Cyrillic Letter Big Yus
ⷿ Combining Cyrillic Letter Iotified Big Yus
