꣠ Combining Devanagari Digit Zero
꣡ Combining Devanagari Digit One
꣢ Combining Devanagari Digit Two
꣣ Combining Devanagari Digit Three
꣤ Combining Devanagari Digit Four
꣥ Combining Devanagari Digit Five
꣦ Combining Devanagari Digit Six
꣧ Combining Devanagari Digit Seven
꣨ Combining Devanagari Digit Eight
꣩ Combining Devanagari Digit Nine
꣪ Combining Devanagari Letter A
꣫ Combining Devanagari Letter U
꣬ Combining Devanagari Letter Ka
꣭ Combining Devanagari Letter Na
꣮ Combining Devanagari Letter Pa
꣯ Combining Devanagari Letter Ra
꣰ Combining Devanagari Letter Vi
꣱ Combining Devanagari Sign Avagraha
ꣲ Devanagari Sign Spacing Candrabindu
ꣳ Devanagari Sign Candrabindu Virama
ꣴ Devanagari Sign Double Candrabindu Virama
ꣵ Devanagari Sign Candrabindu Two
ꣶ Devanagari Sign Candrabindu Three
ꣷ Devanagari Sign Candrabindu Avagraha
꣸ Devanagari Sign Pushpika
꣹ Devanagari Gap Filler
꣺ Devanagari Caret
ꣻ Devanagari Headstroke
꣼ Devanagari Sign Siddham
ꣽ Devanagari Jain Om
ꣾ Devanagari Letter Ay
ꣿ Devanagari Vowel Sign Ay
