𑠂 Dogra Letter I
𑠬 Dogra Vowel Sign Aa
𑠗 Dogra Letter Ddha
𑠃 Dogra Letter Ii
𑠭 Dogra Vowel Sign I
𑠘 Dogra Letter Nna
𑠄 Dogra Letter U
𑠮 Dogra Vowel Sign Ii
𑠙 Dogra Letter Ta
𑠅 Dogra Letter Uu
𑠯 Dogra Vowel Sign U
𑠚 Dogra Letter Tha
𑠆 Dogra Letter E
𑠰 Dogra Vowel Sign Uu
𑠛 Dogra Letter Da
𑠇 Dogra Letter Ai
𑠱 Dogra Vowel Sign Vocalic R
𑠜 Dogra Letter Dha
𑠈 Dogra Letter O
𑠲 Dogra Vowel Sign Vocalic Rr
𑠝 Dogra Letter Na
𑠫 Dogra Letter Rra
𑠉 Dogra Letter Au
𑠳 Dogra Vowel Sign E
𑠞 Dogra Letter Pa
𑠊 Dogra Letter Ka
𑠴 Dogra Vowel Sign Ai
𑠟 Dogra Letter Pha
𑠋 Dogra Letter Kha
𑠵 Dogra Vowel Sign O
𑠠 Dogra Letter Ba
𑠌 Dogra Letter Ga
𑠶 Dogra Vowel Sign Au
𑠡 Dogra Letter Bha
𑠍 Dogra Letter Gha
𑠷 Dogra Sign Anusvara
𑠢 Dogra Letter Ma
𑠎 Dogra Letter Nga
𑠸 Dogra Sign Visarga
𑠣 Dogra Letter Ya
𑠏 Dogra Letter Ca
𑠹 Dogra Sign Virama
𑠤 Dogra Letter Ra
𑠐 Dogra Letter Cha
𑠺 Dogra Sign Nukta
𑠥 Dogra Letter La
𑠑 Dogra Letter Ja
𑠻 Dogra Abbreviation Sign
𑠦 Dogra Letter Va
𑠒 Dogra Letter Jha
𑠧 Dogra Letter Sha
𑠓 Dogra Letter Nya
𑠨 Dogra Letter Ssa
𑠔 Dogra Letter Tta
𑠩 Dogra Letter Sa
𑠕 Dogra Letter Ttha
𑠀 Dogra Letter A
𑠪 Dogra Letter Ha
𑠖 Dogra Letter Dda
𑠁 Dogra Letter Aa
