𓁙 Egyptian Hieroglyph B009
𓄫 Egyptian Hieroglyph F040
𓅿 Egyptian Hieroglyph H001
𓉑 Egyptian Hieroglyph O001A
𓌣 Egyptian Hieroglyph T023
𓍷 Egyptian Hieroglyph V010
𓁚 Egyptian Hieroglyph C001
𓄬 Egyptian Hieroglyph F041
𓆀 Egyptian Hieroglyph H002
𓉒 Egyptian Hieroglyph O002
𓌤 Egyptian Hieroglyph T024
𓍸 Egyptian Hieroglyph V011
𓁛 Egyptian Hieroglyph C002
𓄭 Egyptian Hieroglyph F042
𓆁 Egyptian Hieroglyph H003
𓉓 Egyptian Hieroglyph O003
𓌥 Egyptian Hieroglyph T025
𓍹 Egyptian Hieroglyph V011A
𓁜 Egyptian Hieroglyph C002A
𓄮 Egyptian Hieroglyph F043
𓆂 Egyptian Hieroglyph H004
𓉔 Egyptian Hieroglyph O004
𓌦 Egyptian Hieroglyph T026
𓍺 Egyptian Hieroglyph V011B
𓁝 Egyptian Hieroglyph C002B
𓄯 Egyptian Hieroglyph F044
𓆃 Egyptian Hieroglyph H005
𓉕 Egyptian Hieroglyph O005
𓌧 Egyptian Hieroglyph T027
𓍻 Egyptian Hieroglyph V011C
𓁞 Egyptian Hieroglyph C002C
𓄰 Egyptian Hieroglyph F045
𓆄 Egyptian Hieroglyph H006
𓉖 Egyptian Hieroglyph O005A
𓌨 Egyptian Hieroglyph T028
𓍼 Egyptian Hieroglyph V012
𓁟 Egyptian Hieroglyph C003
𓄱 Egyptian Hieroglyph F045A
𓆅 Egyptian Hieroglyph H006A
𓉗 Egyptian Hieroglyph O006
𓌩 Egyptian Hieroglyph T029
𓍽 Egyptian Hieroglyph V012A
𓁠 Egyptian Hieroglyph C004
𓄲 Egyptian Hieroglyph F046
𓆆 Egyptian Hieroglyph H007
𓉘 Egyptian Hieroglyph O006A
𓌪 Egyptian Hieroglyph T030
𓍾 Egyptian Hieroglyph V012B
𓁡 Egyptian Hieroglyph C005
𓄳 Egyptian Hieroglyph F046A
𓆇 Egyptian Hieroglyph H008
𓉙 Egyptian Hieroglyph O006B
𓌫 Egyptian Hieroglyph T031
𓍿 Egyptian Hieroglyph V013
𓁢 Egyptian Hieroglyph C006
𓄴 Egyptian Hieroglyph F047
𓆈 Egyptian Hieroglyph I001
𓉚 Egyptian Hieroglyph O006C
𓌬 Egyptian Hieroglyph T032
𓎀 Egyptian Hieroglyph V014
𓁣 Egyptian Hieroglyph C007
𓄵 Egyptian Hieroglyph F047A
𓆉 Egyptian Hieroglyph I002
𓉛 Egyptian Hieroglyph O006D
𓌭 Egyptian Hieroglyph T032A
𓎁 Egyptian Hieroglyph V015
𓁤 Egyptian Hieroglyph C008
𓄶 Egyptian Hieroglyph F048
𓆊 Egyptian Hieroglyph I003
𓉜 Egyptian Hieroglyph O006E
𓌮 Egyptian Hieroglyph T033
𓎂 Egyptian Hieroglyph V016
𓁥 Egyptian Hieroglyph C009
𓄷 Egyptian Hieroglyph F049
𓆋 Egyptian Hieroglyph I004
𓉝 Egyptian Hieroglyph O006F
𓌯 Egyptian Hieroglyph T033A
𓎃 Egyptian Hieroglyph V017
𓁦 Egyptian Hieroglyph C010
𓄸 Egyptian Hieroglyph F050
