㊅ Circled Ideograph Six
㈇ Parenthesized Hangul Ieung
㊰ Circled Ideograph Night
㈈ Parenthesized Hangul Cieuc
㊱ Circled Number Thirty Six
㈉ Parenthesized Hangul Chieuch
㊲ Circled Number Thirty Seven
㈊ Parenthesized Hangul Khieukh
㊳ Circled Number Thirty Eight
㈋ Parenthesized Hangul Thieuth
㊴ Circled Number Thirty Nine
㈌ Parenthesized Hangul Phieuph
㊯ Circled Ideograph Alliance
㊵ Circled Number Forty
㈍ Parenthesized Hangul Hieuh
㊶ Circled Number Forty One
㈎ Parenthesized Hangul Kiyeok A
㊷ Circled Number Forty Two
㈏ Parenthesized Hangul Nieun A
㊸ Circled Number Forty Three
㈐ Parenthesized Hangul Tikeut A
㊹ Circled Number Forty Four
㈑ Parenthesized Hangul Rieul A
㊺ Circled Number Forty Five
㈒ Parenthesized Hangul Mieum A
㊻ Circled Number Forty Six
㈓ Parenthesized Hangul Pieup A
㊼ Circled Number Forty Seven
㈔ Parenthesized Hangul Sios A
㊽ Circled Number Forty Eight
㈕ Parenthesized Hangul Ieung A
㊾ Circled Number Forty Nine
㈖ Parenthesized Hangul Cieuc A
㊿ Circled Number Fifty
㈗ Parenthesized Hangul Chieuch A
㋀ Ideographic Telegraph Symbol For January
㈘ Parenthesized Hangul Khieukh A
㋁ Ideographic Telegraph Symbol For February
㈙ Parenthesized Hangul Thieuth A
㋂ Ideographic Telegraph Symbol For March
㈚ Parenthesized Hangul Phieuph A
㋃ Ideographic Telegraph Symbol For April
㈛ Parenthesized Hangul Hieuh A
㋄ Ideographic Telegraph Symbol For May
㈜ Parenthesized Hangul Cieuc U
㋅ Ideographic Telegraph Symbol For June
㈝ Parenthesized Korean Character Ojeon
㋆ Ideographic Telegraph Symbol For July
㈞ Parenthesized Korean Character O Hu
㋇ Ideographic Telegraph Symbol For August
㈠ Parenthesized Ideograph One
㋈ Ideographic Telegraph Symbol For September
㈡ Parenthesized Ideograph Two
㋉ Ideographic Telegraph Symbol For October
㈢ Parenthesized Ideograph Three
㋊ Ideographic Telegraph Symbol For November
㈣ Parenthesized Ideograph Four
㋋ Ideographic Telegraph Symbol For December
㈤ Parenthesized Ideograph Five
㋌ Square Hg
㈥ Parenthesized Ideograph Six
㋍ Square Erg
㈦ Parenthesized Ideograph Seven
㋎ Square Ev
㈧ Parenthesized Ideograph Eight
㋏ Limited Liability Sign
㈨ Parenthesized Ideograph Nine
㋐ Circled Katakana A
㈩ Parenthesized Ideograph Ten
㋑ Circled Katakana I
㈪ Parenthesized Ideograph Moon
㋒ Circled Katakana U
㈫ Parenthesized Ideograph Fire
㋓ Circled Katakana E
㈬ Parenthesized Ideograph Water
㋔ Circled Katakana O
㈭ Parenthesized Ideograph Wood
㋕ Circled Katakana Ka
㈮ Parenthesized Ideograph Metal
㋖ Circled Katakana Ki
㈯ Parenthesized Ideograph Earth
㋗ Circled Katakana Ku
㈰ Parenthesized Ideograph Sun
㋘ Circled Katakana Ke
㈱ Parenthesized Ideograph Stock
㋙ Circled Katakana Ko
㈲ Parenthesized Ideograph Have
㉜ Circled Number Thirty Two
㊆ Circled Ideograph Seven
㋚ Circled Katakana Sa
㈳ Parenthesized Ideograph Society
㉝ Circled Number Thirty Three
㊇ Circled Ideograph Eight
㋛ Circled Katakana Si
㈴ Parenthesized Ideograph Name
㉞ Circled Number Thirty Four
㊈ Circled Ideograph Nine
