🈀 Square Hiragana Hoka
🈁 Squared Katakana Koko
🈂 Squared Katakana Sa
🈐 Squared Cjk Unified Ideograph-624B
🈑 Squared Cjk Unified Ideograph-5B57
🈒 Squared Cjk Unified Ideograph-53Cc
🈓 Squared Katakana De
🈔 Squared Cjk Unified Ideograph-4E8C
🈕 Squared Cjk Unified Ideograph-591A
🈖 Squared Cjk Unified Ideograph-89E3
🈗 Squared Cjk Unified Ideograph-5929
🈘 Squared Cjk Unified Ideograph-4Ea4
🈙 Squared Cjk Unified Ideograph-6620
🈚 Squared Cjk Unified Ideograph-7121
🈛 Squared Cjk Unified Ideograph-6599
🈜 Squared Cjk Unified Ideograph-524D
🈝 Squared Cjk Unified Ideograph-5F8C
🈞 Squared Cjk Unified Ideograph-518D
🈟 Squared Cjk Unified Ideograph-65B0
🈠 Squared Cjk Unified Ideograph-521D
🈡 Squared Cjk Unified Ideograph-7D42
🈢 Squared Cjk Unified Ideograph-751F
🈣 Squared Cjk Unified Ideograph-8Ca9
🈤 Squared Cjk Unified Ideograph-58F0
🈥 Squared Cjk Unified Ideograph-5439
🈦 Squared Cjk Unified Ideograph-6F14
🈧 Squared Cjk Unified Ideograph-6295
🈨 Squared Cjk Unified Ideograph-6355
🈩 Squared Cjk Unified Ideograph-4E00
🈪 Squared Cjk Unified Ideograph-4E09
🈫 Squared Cjk Unified Ideograph-904A
🈬 Squared Cjk Unified Ideograph-5De6
🈭 Squared Cjk Unified Ideograph-4E2D
🈮 Squared Cjk Unified Ideograph-53F3
🈯 Squared Cjk Unified Ideograph-6307
🈰 Squared Cjk Unified Ideograph-8D70
🈱 Squared Cjk Unified Ideograph-6253
🈲 Squared Cjk Unified Ideograph-7981
🈳 Squared Cjk Unified Ideograph-7A7A
🈴 Squared Cjk Unified Ideograph-5408
🈵 Squared Cjk Unified Ideograph-6E80
🈶 Squared Cjk Unified Ideograph-6709
🈷 Squared Cjk Unified Ideograph-6708
🈸 Squared Cjk Unified Ideograph-7533
🈹 Squared Cjk Unified Ideograph-5272
🈺 Squared Cjk Unified Ideograph-55B6
🈻 Squared Cjk Unified Ideograph-914D
🉀 Tortoise Shell Bracketed Cjk Unified Ideograph-672C
🉁 Tortoise Shell Bracketed Cjk Unified Ideograph-4E09
🉂 Tortoise Shell Bracketed Cjk Unified Ideograph-4E8C
🉃 Tortoise Shell Bracketed Cjk Unified Ideograph-5B89
🉄 Tortoise Shell Bracketed Cjk Unified Ideograph-70B9
🉅 Tortoise Shell Bracketed Cjk Unified Ideograph-6253
🉆 Tortoise Shell Bracketed Cjk Unified Ideograph-76D7
🉇 Tortoise Shell Bracketed Cjk Unified Ideograph-52Dd
🉈 Tortoise Shell Bracketed Cjk Unified Ideograph-6557
🉐 Circled Ideograph Advantage
🉑 Circled Ideograph Accept
🉠 Rounded Symbol For Fu
🉡 Rounded Symbol For Lu
🉢 Rounded Symbol For Shou
🉣 Rounded Symbol For Xi
🉤 Rounded Symbol For Shuangxi
🉥 Rounded Symbol For Cai
