ሀ Ethiopic Syllable Ha
ሁ Ethiopic Syllable Hu
ሂ Ethiopic Syllable Hi
ሃ Ethiopic Syllable Haa
ሄ Ethiopic Syllable Hee
ህ Ethiopic Syllable He
ሆ Ethiopic Syllable Ho
ሇ Ethiopic Syllable Hoa
ለ Ethiopic Syllable La
ሉ Ethiopic Syllable Lu
ሊ Ethiopic Syllable Li
ላ Ethiopic Syllable Laa
ሌ Ethiopic Syllable Lee
ል Ethiopic Syllable Le
ሎ Ethiopic Syllable Lo
ሏ Ethiopic Syllable Lwa
ሐ Ethiopic Syllable Hha
ሑ Ethiopic Syllable Hhu
ሒ Ethiopic Syllable Hhi
ሓ Ethiopic Syllable Hhaa
ሔ Ethiopic Syllable Hhee
ሕ Ethiopic Syllable Hhe
ሖ Ethiopic Syllable Hho
ሗ Ethiopic Syllable Hhwa
መ Ethiopic Syllable Ma
ሙ Ethiopic Syllable Mu
ሚ Ethiopic Syllable Mi
ማ Ethiopic Syllable Maa
ሜ Ethiopic Syllable Mee
ም Ethiopic Syllable Me
ሞ Ethiopic Syllable Mo
ሟ Ethiopic Syllable Mwa
ሠ Ethiopic Syllable Sza
ሡ Ethiopic Syllable Szu
ሢ Ethiopic Syllable Szi
ሣ Ethiopic Syllable Szaa
ሤ Ethiopic Syllable Szee
ሥ Ethiopic Syllable Sze
ሦ Ethiopic Syllable Szo
ሧ Ethiopic Syllable Szwa
ረ Ethiopic Syllable Ra
ሩ Ethiopic Syllable Ru
ሪ Ethiopic Syllable Ri
ራ Ethiopic Syllable Raa
ሬ Ethiopic Syllable Ree
ር Ethiopic Syllable Re
ሮ Ethiopic Syllable Ro
ሯ Ethiopic Syllable Rwa
ሰ Ethiopic Syllable Sa
ሱ Ethiopic Syllable Su
ሲ Ethiopic Syllable Si
ሳ Ethiopic Syllable Saa
ሴ Ethiopic Syllable See
ስ Ethiopic Syllable Se
ሶ Ethiopic Syllable So
ሷ Ethiopic Syllable Swa
ሸ Ethiopic Syllable Sha
ሹ Ethiopic Syllable Shu
ሺ Ethiopic Syllable Shi
ሻ Ethiopic Syllable Shaa
ሼ Ethiopic Syllable Shee
ሽ Ethiopic Syllable She
ሾ Ethiopic Syllable Sho
ሿ Ethiopic Syllable Shwa
ቀ Ethiopic Syllable Qa
ቁ Ethiopic Syllable Qu
ቂ Ethiopic Syllable Qi
ቃ Ethiopic Syllable Qaa
ቄ Ethiopic Syllable Qee
ቅ Ethiopic Syllable Qe
ቆ Ethiopic Syllable Qo
ቇ Ethiopic Syllable Qoa
ቈ Ethiopic Syllable Qwa
ቊ Ethiopic Syllable Qwi
ቋ Ethiopic Syllable Qwaa
ቌ Ethiopic Syllable Qwee
ቍ Ethiopic Syllable Qwe
ቐ Ethiopic Syllable Qha
ቑ Ethiopic Syllable Qhu
ቒ Ethiopic Syllable Qhi
ቓ Ethiopic Syllable Qhaa
ቔ Ethiopic Syllable Qhee
ቕ Ethiopic Syllable Qhe
ቖ Ethiopic Syllable Qho
ቘ Ethiopic Syllable Qhwa
ቚ Ethiopic Syllable Qhwi
ቛ Ethiopic Syllable Qhwaa
ቜ Ethiopic Syllable Qhwee
ቝ Ethiopic Syllable Qhwe
በ Ethiopic Syllable Ba
ቡ Ethiopic Syllable Bu
ቢ Ethiopic Syllable Bi
ባ Ethiopic Syllable Baa
ቤ Ethiopic Syllable Bee
ብ Ethiopic Syllable Be
ቦ Ethiopic Syllable Bo
ቧ Ethiopic Syllable Bwa
ቨ Ethiopic Syllable Va
ቩ Ethiopic Syllable Vu
ቪ Ethiopic Syllable Vi
ቫ Ethiopic Syllable Vaa
ቬ Ethiopic Syllable Vee
ቭ Ethiopic Syllable Ve
ቮ Ethiopic Syllable Vo
ቯ Ethiopic Syllable Vwa
ተ Ethiopic Syllable Ta
ቱ Ethiopic Syllable Tu
ቲ Ethiopic Syllable Ti
ታ Ethiopic Syllable Taa
ቴ Ethiopic Syllable Tee
ት Ethiopic Syllable Te
ቶ Ethiopic Syllable To
ቷ Ethiopic Syllable Twa
ቸ Ethiopic Syllable Ca
ቹ Ethiopic Syllable Cu
ቺ Ethiopic Syllable Ci
ቻ Ethiopic Syllable Caa
ቼ Ethiopic Syllable Cee
ች Ethiopic Syllable Ce
ቾ Ethiopic Syllable Co
ቿ Ethiopic Syllable Cwa
ኀ Ethiopic Syllable Xa
ኁ Ethiopic Syllable Xu
ኂ Ethiopic Syllable Xi
ኃ Ethiopic Syllable Xaa
ኄ Ethiopic Syllable Xee
ኅ Ethiopic Syllable Xe
ኆ Ethiopic Syllable Xo
ኇ Ethiopic Syllable Xoa
ኈ Ethiopic Syllable Xwa
ኊ Ethiopic Syllable Xwi
ኋ Ethiopic Syllable Xwaa
ኌ Ethiopic Syllable Xwee
ኍ Ethiopic Syllable Xwe
ነ Ethiopic Syllable Na
ኑ Ethiopic Syllable Nu
ኒ Ethiopic Syllable Ni
ና Ethiopic Syllable Naa
ኔ Ethiopic Syllable Nee
ን Ethiopic Syllable Ne
ኖ Ethiopic Syllable No
ኗ Ethiopic Syllable Nwa
ኘ Ethiopic Syllable Nya
ኙ Ethiopic Syllable Nyu
ኚ Ethiopic Syllable Nyi
ኛ Ethiopic Syllable Nyaa
ኜ Ethiopic Syllable Nyee
ኝ Ethiopic Syllable Nye
ኞ Ethiopic Syllable Nyo
ኟ Ethiopic Syllable Nywa
አ Ethiopic Syllable Glottal A
