ꬖ Ethiopic Syllable Dzo
ꬠ Ethiopic Syllable Cchha
ꬡ Ethiopic Syllable Cchhu
ꬢ Ethiopic Syllable Cchhi
ꬣ Ethiopic Syllable Cchhaa
ꬁ Ethiopic Syllable Tthu
ꬤ Ethiopic Syllable Cchhee
ꬂ Ethiopic Syllable Tthi
ꬥ Ethiopic Syllable Cchhe
ꬃ Ethiopic Syllable Tthaa
ꬦ Ethiopic Syllable Cchho
ꬄ Ethiopic Syllable Tthee
ꬨ Ethiopic Syllable Bba
ꬅ Ethiopic Syllable Tthe
ꬩ Ethiopic Syllable Bbu
ꬆ Ethiopic Syllable Ttho
ꬪ Ethiopic Syllable Bbi
ꬉ Ethiopic Syllable Ddhu
ꬫ Ethiopic Syllable Bbaa
ꬊ Ethiopic Syllable Ddhi
ꬬ Ethiopic Syllable Bbee
ꬋ Ethiopic Syllable Ddhaa
ꬭ Ethiopic Syllable Bbe
ꬌ Ethiopic Syllable Ddhee
ꬮ Ethiopic Syllable Bbo
ꬍ Ethiopic Syllable Ddhe
ꬎ Ethiopic Syllable Ddho
ꬑ Ethiopic Syllable Dzu
ꬒ Ethiopic Syllable Dzi
ꬓ Ethiopic Syllable Dzaa
ꬔ Ethiopic Syllable Dzee
ꬕ Ethiopic Syllable Dze
