ⶀ Ethiopic Syllable Loa
ⶁ Ethiopic Syllable Moa
ⶂ Ethiopic Syllable Roa
ⶃ Ethiopic Syllable Soa
ⶄ Ethiopic Syllable Shoa
ⶅ Ethiopic Syllable Boa
ⶆ Ethiopic Syllable Toa
ⶇ Ethiopic Syllable Coa
ⶈ Ethiopic Syllable Noa
ⶉ Ethiopic Syllable Nyoa
ⶊ Ethiopic Syllable Glottal Oa
ⶋ Ethiopic Syllable Zoa
ⶌ Ethiopic Syllable Doa
ⶍ Ethiopic Syllable Ddoa
ⶎ Ethiopic Syllable Joa
ⶏ Ethiopic Syllable Thoa
ⶐ Ethiopic Syllable Choa
ⶑ Ethiopic Syllable Phoa
ⶒ Ethiopic Syllable Poa
ⶓ Ethiopic Syllable Ggwa
ⶔ Ethiopic Syllable Ggwi
ⶕ Ethiopic Syllable Ggwee
ⶖ Ethiopic Syllable Ggwe
ⶠ Ethiopic Syllable Ssa
ⶡ Ethiopic Syllable Ssu
ⶢ Ethiopic Syllable Ssi
ⶣ Ethiopic Syllable Ssaa
ⶤ Ethiopic Syllable Ssee
ⶥ Ethiopic Syllable Sse
ⶦ Ethiopic Syllable Sso
ⶨ Ethiopic Syllable Cca
ⶩ Ethiopic Syllable Ccu
ⶪ Ethiopic Syllable Cci
ⶫ Ethiopic Syllable Ccaa
ⶬ Ethiopic Syllable Ccee
ⶭ Ethiopic Syllable Cce
ⶮ Ethiopic Syllable Cco
ⶰ Ethiopic Syllable Zza
ⶱ Ethiopic Syllable Zzu
ⶲ Ethiopic Syllable Zzi
ⶳ Ethiopic Syllable Zzaa
ⶴ Ethiopic Syllable Zzee
ⶵ Ethiopic Syllable Zze
ⶶ Ethiopic Syllable Zzo
ⶸ Ethiopic Syllable Ccha
ⶹ Ethiopic Syllable Cchu
ⶺ Ethiopic Syllable Cchi
ⶻ Ethiopic Syllable Cchaa
ⶼ Ethiopic Syllable Cchee
ⶽ Ethiopic Syllable Cche
ⶾ Ethiopic Syllable Ccho
ⷀ Ethiopic Syllable Qya
ⷁ Ethiopic Syllable Qyu
ⷂ Ethiopic Syllable Qyi
ⷃ Ethiopic Syllable Qyaa
ⷄ Ethiopic Syllable Qyee
ⷅ Ethiopic Syllable Qye
ⷆ Ethiopic Syllable Qyo
ⷈ Ethiopic Syllable Kya
ⷉ Ethiopic Syllable Kyu
ⷊ Ethiopic Syllable Kyi
ⷋ Ethiopic Syllable Kyaa
ⷌ Ethiopic Syllable Kyee
ⷍ Ethiopic Syllable Kye
ⷎ Ethiopic Syllable Kyo
ⷐ Ethiopic Syllable Xya
ⷑ Ethiopic Syllable Xyu
ⷒ Ethiopic Syllable Xyi
ⷓ Ethiopic Syllable Xyaa
ⷔ Ethiopic Syllable Xyee
ⷕ Ethiopic Syllable Xye
ⷖ Ethiopic Syllable Xyo
ⷘ Ethiopic Syllable Gya
ⷙ Ethiopic Syllable Gyu
ⷚ Ethiopic Syllable Gyi
ⷛ Ethiopic Syllable Gyaa
ⷜ Ethiopic Syllable Gyee
ⷝ Ethiopic Syllable Gye
ⷞ Ethiopic Syllable Gyo
