𑌀 Grantha Sign Combining Anusvara Above
𑌁 Grantha Sign Candrabindu
𑌂 Grantha Sign Anusvara
𑌃 Grantha Sign Visarga
𑌅 Grantha Letter A
𑌆 Grantha Letter Aa
𑌇 Grantha Letter I
𑌈 Grantha Letter Ii
𑌉 Grantha Letter U
𑌊 Grantha Letter Uu
𑌋 Grantha Letter Vocalic R
𑌌 Grantha Letter Vocalic L
𑌏 Grantha Letter Ee
𑌐 Grantha Letter Ai
𑌓 Grantha Letter Oo
𑌔 Grantha Letter Au
𑌕 Grantha Letter Ka
𑌖 Grantha Letter Kha
𑌗 Grantha Letter Ga
𑌘 Grantha Letter Gha
𑌙 Grantha Letter Nga
𑌚 Grantha Letter Ca
𑌛 Grantha Letter Cha
𑌜 Grantha Letter Ja
𑌝 Grantha Letter Jha
𑌞 Grantha Letter Nya
𑌟 Grantha Letter Tta
𑌠 Grantha Letter Ttha
𑌡 Grantha Letter Dda
𑌢 Grantha Letter Ddha
𑌣 Grantha Letter Nna
𑌤 Grantha Letter Ta
𑌥 Grantha Letter Tha
𑌦 Grantha Letter Da
𑌧 Grantha Letter Dha
𑌨 Grantha Letter Na
𑌪 Grantha Letter Pa
𑌫 Grantha Letter Pha
𑌬 Grantha Letter Ba
𑌭 Grantha Letter Bha
𑌮 Grantha Letter Ma
𑌯 Grantha Letter Ya
𑌰 Grantha Letter Ra
𑌲 Grantha Letter La
𑌳 Grantha Letter Lla
𑌵 Grantha Letter Va
𑌶 Grantha Letter Sha
𑌷 Grantha Letter Ssa
𑌸 Grantha Letter Sa
𑌹 Grantha Letter Ha
𑌻 Combining Bindu Below
𑌼 Grantha Sign Nukta
𑌽 Grantha Sign Avagraha
𑌾 Grantha Vowel Sign Aa
𑌿 Grantha Vowel Sign I
𑍀 Grantha Vowel Sign Ii
𑍁 Grantha Vowel Sign U
𑍂 Grantha Vowel Sign Uu
𑍃 Grantha Vowel Sign Vocalic R
𑍄 Grantha Vowel Sign Vocalic Rr
𑍇 Grantha Vowel Sign Ee
𑍈 Grantha Vowel Sign Ai
𑍋 Grantha Vowel Sign Oo
𑍌 Grantha Vowel Sign Au
𑍍 Grantha Sign Virama
𑍐 Grantha Om
𑍗 Grantha Au Length Mark
𑍝 Grantha Sign Pluta
𑍞 Grantha Letter Vedic Anusvara
𑍟 Grantha Letter Vedic Double Anusvara
𑍠 Grantha Letter Vocalic Rr
𑍡 Grantha Letter Vocalic Ll
𑍢 Grantha Vowel Sign Vocalic L
𑍣 Grantha Vowel Sign Vocalic Ll
𑍦 Combining Grantha Digit Zero
𑍧 Combining Grantha Digit One
𑍨 Combining Grantha Digit Two
𑍩 Combining Grantha Digit Three
𑍪 Combining Grantha Digit Four
𑍫 Combining Grantha Digit Five
𑍬 Combining Grantha Digit Six
𑍰 Combining Grantha Letter A
𑍱 Combining Grantha Letter Ka
𑍲 Combining Grantha Letter Na
𑍳 Combining Grantha Letter Vi
𑍴 Combining Grantha Letter Pa
