𑵠 Gunjala Gondi Letter A
𑵡 Gunjala Gondi Letter Aa
𑵢 Gunjala Gondi Letter I
𑵣 Gunjala Gondi Letter Ii
𑵤 Gunjala Gondi Letter U
𑵥 Gunjala Gondi Letter Uu
𑵧 Gunjala Gondi Letter Ee
𑵨 Gunjala Gondi Letter Ai
𑵪 Gunjala Gondi Letter Oo
𑵫 Gunjala Gondi Letter Au
𑵬 Gunjala Gondi Letter Ya
𑵭 Gunjala Gondi Letter Va
𑵮 Gunjala Gondi Letter Ba
𑵯 Gunjala Gondi Letter Bha
𑵰 Gunjala Gondi Letter Ma
𑵱 Gunjala Gondi Letter Ka
𑵲 Gunjala Gondi Letter Kha
𑵳 Gunjala Gondi Letter Ta
𑵴 Gunjala Gondi Letter Tha
𑵵 Gunjala Gondi Letter La
𑵶 Gunjala Gondi Letter Ga
𑵷 Gunjala Gondi Letter Gha
𑵸 Gunjala Gondi Letter Da
𑵹 Gunjala Gondi Letter Dha
𑵺 Gunjala Gondi Letter Na
𑵻 Gunjala Gondi Letter Ca
𑵼 Gunjala Gondi Letter Cha
𑵽 Gunjala Gondi Letter Tta
𑵾 Gunjala Gondi Letter Ttha
𑵿 Gunjala Gondi Letter Lla
𑶀 Gunjala Gondi Letter Ja
𑶁 Gunjala Gondi Letter Jha
𑶂 Gunjala Gondi Letter Dda
𑶃 Gunjala Gondi Letter Ddha
𑶄 Gunjala Gondi Letter Nga
𑶅 Gunjala Gondi Letter Pa
𑶆 Gunjala Gondi Letter Pha
𑶇 Gunjala Gondi Letter Ha
𑶈 Gunjala Gondi Letter Ra
𑶉 Gunjala Gondi Letter Sa
𑶊 Gunjala Gondi Vowel Sign Aa
𑶋 Gunjala Gondi Vowel Sign I
𑶌 Gunjala Gondi Vowel Sign Ii
𑶍 Gunjala Gondi Vowel Sign U
𑶎 Gunjala Gondi Vowel Sign Uu
𑶐 Gunjala Gondi Vowel Sign Ee
𑶑 Gunjala Gondi Vowel Sign Ai
𑶓 Gunjala Gondi Vowel Sign Oo
𑶔 Gunjala Gondi Vowel Sign Au
𑶕 Gunjala Gondi Sign Anusvara
𑶖 Gunjala Gondi Sign Visarga
𑶗 Gunjala Gondi Virama
𑶘 Gunjala Gondi Om
𑶠 Gunjala Gondi Digit Zero
𑶡 Gunjala Gondi Digit One
𑶢 Gunjala Gondi Digit Two
𑶣 Gunjala Gondi Digit Three
𑶤 Gunjala Gondi Digit Four
𑶥 Gunjala Gondi Digit Five
𑶦 Gunjala Gondi Digit Six
𑶧 Gunjala Gondi Digit Seven
𑶨 Gunjala Gondi Digit Eight
𑶩 Gunjala Gondi Digit Nine
