ਠ Gurmukhi Letter Ttha
੩ Gurmukhi Digit Three
ਡ Gurmukhi Letter Dda
੪ Gurmukhi Digit Four
ਢ Gurmukhi Letter Ddha
੫ Gurmukhi Digit Five
ਣ Gurmukhi Letter Nna
੬ Gurmukhi Digit Six
ਤ Gurmukhi Letter Ta
੭ Gurmukhi Digit Seven
ਥ Gurmukhi Letter Tha
੮ Gurmukhi Digit Eight
ਦ Gurmukhi Letter Da
੯ Gurmukhi Digit Nine
ਧ Gurmukhi Letter Dha
ੰ Gurmukhi Tippi
ਨ Gurmukhi Letter Na
ੱ Gurmukhi Addak
ਪ Gurmukhi Letter Pa
ੲ Gurmukhi Iri
ਫ Gurmukhi Letter Pha
ੳ Gurmukhi Ura
ਬ Gurmukhi Letter Ba
ੴ Gurmukhi Ek Onkar
ਭ Gurmukhi Letter Bha
ੵ Gurmukhi Sign Yakash
ਮ Gurmukhi Letter Ma
੶ Gurmukhi Abbreviation Sign
ਯ Gurmukhi Letter Ya
ਰ Gurmukhi Letter Ra
ਲ Gurmukhi Letter La
ਲ਼ Gurmukhi Letter Lla
ਵ Gurmukhi Letter Va
ਸ਼ Gurmukhi Letter Sha
ਸ Gurmukhi Letter Sa
ਹ Gurmukhi Letter Ha
਼ Gurmukhi Sign Nukta
ਾ Gurmukhi Vowel Sign Aa
ਿ Gurmukhi Vowel Sign I
ੀ Gurmukhi Vowel Sign Ii
ੁ Gurmukhi Vowel Sign U
ੂ Gurmukhi Vowel Sign Uu
ੇ Gurmukhi Vowel Sign Ee
ੈ Gurmukhi Vowel Sign Ai
ੋ Gurmukhi Vowel Sign Oo
ੌ Gurmukhi Vowel Sign Au
੍ Gurmukhi Sign Virama
ੑ Gurmukhi Sign Udaat
ਖ਼ Gurmukhi Letter Khha
ਗ਼ Gurmukhi Letter Ghha
ਜ਼ Gurmukhi Letter Za
ੜ Gurmukhi Letter Rra
ਫ਼ Gurmukhi Letter Fa
੦ Gurmukhi Digit Zero
੧ Gurmukhi Digit One
੨ Gurmukhi Digit Two
ਁ Gurmukhi Sign Adak Bindi
ਂ Gurmukhi Sign Bindi
ਃ Gurmukhi Sign Visarga
ਅ Gurmukhi Letter A
ਆ Gurmukhi Letter Aa
ਇ Gurmukhi Letter I
ਈ Gurmukhi Letter Ii
ਉ Gurmukhi Letter U
ਊ Gurmukhi Letter Uu
ਏ Gurmukhi Letter Ee
ਐ Gurmukhi Letter Ai
ਓ Gurmukhi Letter Oo
ਔ Gurmukhi Letter Au
ਕ Gurmukhi Letter Ka
ਖ Gurmukhi Letter Kha
ਗ Gurmukhi Letter Ga
ਘ Gurmukhi Letter Gha
ਙ Gurmukhi Letter Nga
ਚ Gurmukhi Letter Ca
ਛ Gurmukhi Letter Cha
ਜ Gurmukhi Letter Ja
ਝ Gurmukhi Letter Jha
ਞ Gurmukhi Letter Nya
ਟ Gurmukhi Letter Tta
