ᅡ Hangul Jungseong A
ᅢ Hangul Jungseong Ae
ᅣ Hangul Jungseong Ya
ᅤ Hangul Jungseong Yae
ᅥ Hangul Jungseong Eo
ᅦ Hangul Jungseong E
ᆴ Hangul Jongseong Rieul-Thieuth
ᅧ Hangul Jungseong Yeo
ᅨ Hangul Jungseong Ye
ᅩ Hangul Jungseong O
ᅪ Hangul Jungseong Wa
ᅫ Hangul Jungseong Wae
ᇞ Hangul Jongseong Mieum-Ssangsios
ᅬ Hangul Jungseong Oe
ᅭ Hangul Jungseong Yo
ᅮ Hangul Jungseong U
ᅯ Hangul Jungseong Weo
ᅰ Hangul Jungseong We
ᅱ Hangul Jungseong Wi
ᅲ Hangul Jungseong Yu
ᅳ Hangul Jungseong Eu
ᅴ Hangul Jungseong Yi
ᅵ Hangul Jungseong I
ᅶ Hangul Jungseong A-O
ᅷ Hangul Jungseong A-U
ᅸ Hangul Jungseong Ya-O
ᅹ Hangul Jungseong Ya-Yo
ᅺ Hangul Jungseong Eo-O
ᅻ Hangul Jungseong Eo-U
ᅼ Hangul Jungseong Eo-Eu
ᅽ Hangul Jungseong Yeo-O
ᅾ Hangul Jungseong Yeo-U
ᅿ Hangul Jungseong O-Eo
ᆀ Hangul Jungseong O-E
ᆁ Hangul Jungseong O-Ye
ᆂ Hangul Jungseong O-O
ᆃ Hangul Jungseong O-U
ᆄ Hangul Jungseong Yo-Ya
ᆅ Hangul Jungseong Yo-Yae
ᆆ Hangul Jungseong Yo-Yeo
ᆇ Hangul Jungseong Yo-O
ᆈ Hangul Jungseong Yo-I
ᆉ Hangul Jungseong U-A
ᆊ Hangul Jungseong U-Ae
ᄍ Hangul Choseong Ssangcieuc
ᄷ Hangul Choseong Sios-Chieuch
ᆋ Hangul Jungseong U-Eo-Eu
ᆵ Hangul Jongseong Rieul-Phieuph
ᇟ Hangul Jongseong Mieum-Pansios
ᄎ Hangul Choseong Chieuch
ᄸ Hangul Choseong Sios-Khieukh
ᆌ Hangul Jungseong U-Ye
ᆶ Hangul Jongseong Rieul-Hieuh
ᇠ Hangul Jongseong Mieum-Chieuch
ᄏ Hangul Choseong Khieukh
ᄹ Hangul Choseong Sios-Thieuth
ᆍ Hangul Jungseong U-U
ᆷ Hangul Jongseong Mieum
ᇡ Hangul Jongseong Mieum-Hieuh
ᄐ Hangul Choseong Thieuth
ᄺ Hangul Choseong Sios-Phieuph
ᆎ Hangul Jungseong Yu-A
ᆸ Hangul Jongseong Pieup
ᇢ Hangul Jongseong Kapyeounmieum
ᄑ Hangul Choseong Phieuph
ᄻ Hangul Choseong Sios-Hieuh
ᆏ Hangul Jungseong Yu-Eo
ᆹ Hangul Jongseong Pieup-Sios
ᇣ Hangul Jongseong Pieup-Rieul
ᄒ Hangul Choseong Hieuh
ᄼ Hangul Choseong Chitueumsios
ᆐ Hangul Jungseong Yu-E
ᆺ Hangul Jongseong Sios
ᇤ Hangul Jongseong Pieup-Phieuph
ᄓ Hangul Choseong Nieun-Kiyeok
ᄽ Hangul Choseong Chitueumssangsios
ᆑ Hangul Jungseong Yu-Yeo
ᆻ Hangul Jongseong Ssangsios
ᇥ Hangul Jongseong Pieup-Hieuh
ᄔ Hangul Choseong Ssangnieun
ᄾ Hangul Choseong Ceongchieumsios
ᆒ Hangul Jungseong Yu-Ye
ᆼ Hangul Jongseong Ieung
ᇦ Hangul Jongseong Kapyeounpieup
ᄕ Hangul Choseong Nieun-Tikeut
ᄿ Hangul Choseong Ceongchieumssangsios
ᆓ Hangul Jungseong Yu-U
ᆽ Hangul Jongseong Cieuc
ᇧ Hangul Jongseong Sios-Kiyeok
ᄖ Hangul Choseong Nieun-Pieup
ᅀ Hangul Choseong Pansios
ᆔ Hangul Jungseong Yu-I
ᆾ Hangul Jongseong Chieuch
ᇨ Hangul Jongseong Sios-Tikeut
ᄗ Hangul Choseong Tikeut-Kiyeok
ᅁ Hangul Choseong Ieung-Kiyeok
ᆕ Hangul Jungseong Eu-U
ᆿ Hangul Jongseong Khieukh
ᇩ Hangul Jongseong Sios-Rieul
ᄘ Hangul Choseong Rieul-Nieun
ᅂ Hangul Choseong Ieung-Tikeut
ᆖ Hangul Jungseong Eu-Eu
ᇀ Hangul Jongseong Thieuth
ᇪ Hangul Jongseong Sios-Pieup
ᄙ Hangul Choseong Ssangrieul
ᅃ Hangul Choseong Ieung-Mieum
ᆗ Hangul Jungseong Yi-U
ᇁ Hangul Jongseong Phieuph
ᇫ Hangul Jongseong Pansios
ᄚ Hangul Choseong Rieul-Hieuh
ᅄ Hangul Choseong Ieung-Pieup
ᆘ Hangul Jungseong I-A
ᇂ Hangul Jongseong Hieuh
ᇬ Hangul Jongseong Ieung-Kiyeok
ᄛ Hangul Choseong Kapyeounrieul
ᅅ Hangul Choseong Ieung-Sios
ᆙ Hangul Jungseong I-Ya
ᇃ Hangul Jongseong Kiyeok-Rieul
ᇭ Hangul Jongseong Ieung-Ssangkiyeok
ᄜ Hangul Choseong Mieum-Pieup
ᅆ Hangul Choseong Ieung-Pansios
ᆚ Hangul Jungseong I-O
ᇄ Hangul Jongseong Kiyeok-Sios-Kiyeok
ᇮ Hangul Jongseong Ssangieung
ᄝ Hangul Choseong Kapyeounmieum
ᅇ Hangul Choseong Ssangieung
ᆛ Hangul Jungseong I-U
ᇅ Hangul Jongseong Nieun-Kiyeok
ᇯ Hangul Jongseong Ieung-Khieukh
ᄞ Hangul Choseong Pieup-Kiyeok
ᅈ Hangul Choseong Ieung-Cieuc
ᆜ Hangul Jungseong I-Eu
ᇆ Hangul Jongseong Nieun-Tikeut
ᇰ Hangul Jongseong Yesieung
ᄟ Hangul Choseong Pieup-Nieun
ᅉ Hangul Choseong Ieung-Chieuch
ᆝ Hangul Jungseong I-Araea
ᇇ Hangul Jongseong Nieun-Sios
ᇱ Hangul Jongseong Yesieung-Sios
ᄠ Hangul Choseong Pieup-Tikeut
ᅊ Hangul Choseong Ieung-Thieuth
ᆞ Hangul Jungseong Araea
ᇈ Hangul Jongseong Nieun-Pansios
ᇲ Hangul Jongseong Yesieung-Pansios
ᅋ Hangul Choseong Ieung-Phieuph
ᄡ Hangul Choseong Pieup-Sios
ᆟ Hangul Jungseong Araea-Eo
ᇉ Hangul Jongseong Nieun-Thieuth
ᇳ Hangul Jongseong Phieuph-Pieup
