ꥠ Hangul Choseong Tikeut-Mieum
ꥵ Hangul Choseong Ssangsios-Pieup
ꥡ Hangul Choseong Tikeut-Pieup
ꥶ Hangul Choseong Ieung-Rieul
ꥢ Hangul Choseong Tikeut-Sios
ꥷ Hangul Choseong Ieung-Hieuh
ꥣ Hangul Choseong Tikeut-Cieuc
ꥸ Hangul Choseong Ssangcieuc-Hieuh
ꥤ Hangul Choseong Rieul-Kiyeok
ꥹ Hangul Choseong Ssangthieuth
ꥥ Hangul Choseong Rieul-Ssangkiyeok
ꥺ Hangul Choseong Phieuph-Hieuh
ꥦ Hangul Choseong Rieul-Tikeut
ꥻ Hangul Choseong Hieuh-Sios
ꥧ Hangul Choseong Rieul-Ssangtikeut
ꥼ Hangul Choseong Ssangyeorinhieuh
ꥨ Hangul Choseong Rieul-Mieum
ꥩ Hangul Choseong Rieul-Pieup
ꥪ Hangul Choseong Rieul-Ssangpieup
ꥫ Hangul Choseong Rieul-Kapyeounpieup
ꥬ Hangul Choseong Rieul-Sios
ꥭ Hangul Choseong Rieul-Cieuc
ꥮ Hangul Choseong Rieul-Khieukh
ꥯ Hangul Choseong Mieum-Kiyeok
ꥰ Hangul Choseong Mieum-Tikeut
ꥱ Hangul Choseong Mieum-Sios
ꥲ Hangul Choseong Pieup-Sios-Thieuth
ꥳ Hangul Choseong Pieup-Khieukh
ꥴ Hangul Choseong Pieup-Hieuh
