ힳ Hangul Jungseong Yo-Ae
ퟡ Hangul Jongseong Mieum-Pieup-Sios
ퟌ Hangul Jongseong Nieun-Chieuch
ퟶ Hangul Jongseong Yesieung-Hieuh
ힴ Hangul Jungseong Yo-Eo
ퟢ Hangul Jongseong Mieum-Cieuc
ퟍ Hangul Jongseong Ssangtikeut
ퟷ Hangul Jongseong Cieuc-Pieup
ힵ Hangul Jungseong U-Yeo
ퟣ Hangul Jongseong Pieup-Tikeut
ퟎ Hangul Jongseong Ssangtikeut-Pieup
ퟸ Hangul Jongseong Cieuc-Ssangpieup
ힶ Hangul Jungseong U-I-I
ퟤ Hangul Jongseong Pieup-Rieul-Phieuph
ퟏ Hangul Jongseong Tikeut-Pieup
ퟹ Hangul Jongseong Ssangcieuc
ힷ Hangul Jungseong Yu-Ae
ퟥ Hangul Jongseong Pieup-Mieum
ퟐ Hangul Jongseong Tikeut-Sios
ퟺ Hangul Jongseong Phieuph-Sios
ힸ Hangul Jungseong Yu-O
ퟑ Hangul Jongseong Tikeut-Sios-Kiyeok
ퟦ Hangul Jongseong Ssangpieup
ퟻ Hangul Jongseong Phieuph-Thieuth
ힹ Hangul Jungseong Eu-A
ퟧ Hangul Jongseong Pieup-Sios-Tikeut
ퟒ Hangul Jongseong Tikeut-Cieuc
ힺ Hangul Jungseong Eu-Eo
ퟨ Hangul Jongseong Pieup-Cieuc
ퟓ Hangul Jongseong Tikeut-Chieuch
ힻ Hangul Jungseong Eu-E
ퟩ Hangul Jongseong Pieup-Chieuch
ퟔ Hangul Jongseong Tikeut-Thieuth
ힼ Hangul Jungseong Eu-O
ퟪ Hangul Jongseong Sios-Mieum
ퟕ Hangul Jongseong Rieul-Ssangkiyeok
ힽ Hangul Jungseong I-Ya-O
ퟫ Hangul Jongseong Sios-Kapyeounpieup
ퟖ Hangul Jongseong Rieul-Kiyeok-Hieuh
ퟵ Hangul Jongseong Yesieung-Mieum
ힾ Hangul Jungseong I-Yae
ퟬ Hangul Jongseong Ssangsios-Kiyeok
ퟗ Hangul Jongseong Ssangrieul-Khieukh
ퟠ Hangul Jongseong Ssangmieum
ힿ Hangul Jungseong I-Yeo
ퟭ Hangul Jongseong Ssangsios-Tikeut
ퟘ Hangul Jongseong Rieul-Mieum-Hieuh
ퟀ Hangul Jungseong I-Ye
ퟮ Hangul Jongseong Sios-Pansios
ퟙ Hangul Jongseong Rieul-Pieup-Tikeut
ퟁ Hangul Jungseong I-O-I
ퟯ Hangul Jongseong Sios-Cieuc
ퟚ Hangul Jongseong Rieul-Pieup-Phieuph
ퟂ Hangul Jungseong I-Yo
ퟰ Hangul Jongseong Sios-Chieuch
ퟛ Hangul Jongseong Rieul-Yesieung
ퟃ Hangul Jungseong I-Yu
ퟱ Hangul Jongseong Sios-Thieuth
ퟜ Hangul Jongseong Rieul-Yeorinhieuh-Hieuh
ퟄ Hangul Jungseong I-I
ퟲ Hangul Jongseong Sios-Hieuh
ퟝ Hangul Jongseong Kapyeounrieul
ퟅ Hangul Jungseong Araea-A
ퟳ Hangul Jongseong Pansios-Pieup
ힰ Hangul Jungseong O-Yeo
ퟞ Hangul Jongseong Mieum-Nieun
ퟆ Hangul Jungseong Araea-E
ퟴ Hangul Jongseong Pansios-Kapyeounpieup
ힱ Hangul Jungseong O-O-I
ퟟ Hangul Jongseong Mieum-Ssangnieun
ퟋ Hangul Jongseong Nieun-Rieul
ힲ Hangul Jungseong Yo-A
