𐴒 Hanifi Rohingya Letter Ga
𐴧 Hanifi Rohingya Sign Tassi
𐴓 Hanifi Rohingya Letter La
𐴰 Hanifi Rohingya Digit Zero
𐴔 Hanifi Rohingya Letter Ma
𐴱 Hanifi Rohingya Digit One
𐴕 Hanifi Rohingya Letter Na
𐴀 Hanifi Rohingya Letter A
𐴲 Hanifi Rohingya Digit Two
𐴖 Hanifi Rohingya Letter Wa
𐴁 Hanifi Rohingya Letter Ba
𐴳 Hanifi Rohingya Digit Three
𐴗 Hanifi Rohingya Letter Kinna Wa
𐴂 Hanifi Rohingya Letter Pa
𐴴 Hanifi Rohingya Digit Four
𐴘 Hanifi Rohingya Letter Ya
𐴃 Hanifi Rohingya Letter Ta
𐴵 Hanifi Rohingya Digit Five
𐴙 Hanifi Rohingya Letter Kinna Ya
𐴄 Hanifi Rohingya Letter Tta
𐴶 Hanifi Rohingya Digit Six
𐴚 Hanifi Rohingya Letter Nga
𐴅 Hanifi Rohingya Letter Ja
𐴷 Hanifi Rohingya Digit Seven
𐴛 Hanifi Rohingya Letter Nya
𐴆 Hanifi Rohingya Letter Ca
𐴸 Hanifi Rohingya Digit Eight
𐴜 Hanifi Rohingya Letter Va
𐴇 Hanifi Rohingya Letter Ha
𐴹 Hanifi Rohingya Digit Nine
𐴝 Hanifi Rohingya Vowel A
𐴈 Hanifi Rohingya Letter Kha
𐴞 Hanifi Rohingya Vowel I
𐴉 Hanifi Rohingya Letter Fa
𐴟 Hanifi Rohingya Vowel U
𐴊 Hanifi Rohingya Letter Da
𐴠 Hanifi Rohingya Vowel E
𐴋 Hanifi Rohingya Letter Dda
𐴡 Hanifi Rohingya Vowel O
𐴌 Hanifi Rohingya Letter Ra
𐴢 Hanifi Rohingya Mark Sakin
𐴍 Hanifi Rohingya Letter Rra
𐴣 Hanifi Rohingya Mark Na Khonna
𐴎 Hanifi Rohingya Letter Za
𐴤 Hanifi Rohingya Sign Harbahay
𐴏 Hanifi Rohingya Letter Sa
𐴥 Hanifi Rohingya Sign Tahala
𐴐 Hanifi Rohingya Letter Sha
𐴦 Hanifi Rohingya Sign Tana
𐴑 Hanifi Rohingya Letter Ka
