֑ Hebrew Accent Etnahta
֒ Hebrew Accent Segol
֓ Hebrew Accent Shalshelet
֔ Hebrew Accent Zaqef Qatan
֕ Hebrew Accent Zaqef Gadol
֖ Hebrew Accent Tipeha
֗ Hebrew Accent Revia
֘ Hebrew Accent Zarqa
֙ Hebrew Accent Pashta
֚ Hebrew Accent Yetiv
֛ Hebrew Accent Tevir
֜ Hebrew Accent Geresh
֝ Hebrew Accent Geresh Muqdam
֞ Hebrew Accent Gershayim
֟ Hebrew Accent Qarney Para
֠ Hebrew Accent Telisha Gedola
֡ Hebrew Accent Pazer
֢ Hebrew Accent Atnah Hafukh
֣ Hebrew Accent Munah
֤ Hebrew Accent Mahapakh
֥ Hebrew Accent Merkha
֦ Hebrew Accent Merkha Kefula
֧ Hebrew Accent Darga
֨ Hebrew Accent Qadma
֩ Hebrew Accent Telisha Qetana
֪ Hebrew Accent Yerah Ben Yomo
֫ Hebrew Accent Ole
֬ Hebrew Accent Iluy
֭ Hebrew Accent Dehi
֮ Hebrew Accent Zinor
֯ Hebrew Mark Masora Circle
ְ Hebrew Point Sheva
ֱ Hebrew Point Hataf Segol
ֲ Hebrew Point Hataf Patah
ֳ Hebrew Point Hataf Qamats
ִ Hebrew Point Hiriq
ֵ Hebrew Point Tsere
ֶ Hebrew Point Segol
ַ Hebrew Point Patah
ָ Hebrew Point Qamats
ֹ Hebrew Point Holam
ֺ Hebrew Point Holam Haser For Vav
ֻ Hebrew Point Qubuts
ּ Hebrew Point Dagesh Or Mapiq
ֽ Hebrew Point Meteg
‎־ Hebrew Punctuation Maqaf
ֿ Hebrew Point Rafe
‎׀ Hebrew Punctuation Paseq
ׁ Hebrew Point Shin Dot
ׂ Hebrew Point Sin Dot
‎׃ Hebrew Punctuation Sof Pasuq
ׄ Hebrew Mark Upper Dot
ׅ Hebrew Mark Lower Dot
‎׆ Hebrew Punctuation Nun Hafukha
ׇ Hebrew Point Qamats Qatan
‎א Hebrew Letter Alef
‎ב Hebrew Letter Bet
‎ג Hebrew Letter Gimel
‎ד Hebrew Letter Dalet
‎ה Hebrew Letter He
‎ו Hebrew Letter Vav
‎ז Hebrew Letter Zayin
‎ח Hebrew Letter Het
‎ט Hebrew Letter Tet
‎י Hebrew Letter Yod
‎ך Hebrew Letter Final Kaf
‎כ Hebrew Letter Kaf
‎ל Hebrew Letter Lamed
‎ם Hebrew Letter Final Mem
‎מ Hebrew Letter Mem
‎ן Hebrew Letter Final Nun
‎נ Hebrew Letter Nun
‎ס Hebrew Letter Samekh
‎ע Hebrew Letter Ayin
‎ף Hebrew Letter Final Pe
‎פ Hebrew Letter Pe
‎ץ Hebrew Letter Final Tsadi
‎צ Hebrew Letter Tsadi
‎ק Hebrew Letter Qof
‎ר Hebrew Letter Resh
‎ש Hebrew Letter Shin
‎ת Hebrew Letter Tav
‎ׯ Hebrew Yod Triangle
‎װ Hebrew Ligature Yiddish Double Vav
‎ױ Hebrew Ligature Yiddish Vav Yod
‎ײ Hebrew Ligature Yiddish Double Yod
‎׳ Hebrew Punctuation Geresh
‎״ Hebrew Punctuation Gershayim
