𑂑 Kaithi Letter Nga
𑂻 Kaithi Abbreviation Sign
𑂦 Kaithi Letter Bha
𑂒 Kaithi Letter Ca
𑂼 Kaithi Enumeration Sign
𑂧 Kaithi Letter Ma
𑂓 Kaithi Letter Cha
𑂽 Kaithi Number Sign
𑂨 Kaithi Letter Ya
𑂺 Kaithi Sign Nukta
𑂔 Kaithi Letter Ja
𑂾 Kaithi Section Mark
𑂩 Kaithi Letter Ra
𑂕 Kaithi Letter Jha
𑂿 Kaithi Double Section Mark
𑂀 Kaithi Sign Candrabindu
𑂪 Kaithi Letter La
𑂖 Kaithi Letter Nya
𑃀 Kaithi Danda
𑂁 Kaithi Sign Anusvara
𑂫 Kaithi Letter Va
𑂗 Kaithi Letter Tta
𑃁 Kaithi Double Danda
𑂂 Kaithi Sign Visarga
𑂬 Kaithi Letter Sha
𑂘 Kaithi Letter Ttha
𑃍 Kaithi Number Sign Above
𑂃 Kaithi Letter A
𑂭 Kaithi Letter Ssa
𑂙 Kaithi Letter Dda
𑂄 Kaithi Letter Aa
𑂮 Kaithi Letter Sa
𑂚 Kaithi Letter Dddha
𑂅 Kaithi Letter I
𑂯 Kaithi Letter Ha
𑂛 Kaithi Letter Ddha
𑂆 Kaithi Letter Ii
𑂰 Kaithi Vowel Sign Aa
𑂜 Kaithi Letter Rha
𑂇 Kaithi Letter U
𑂱 Kaithi Vowel Sign I
𑂝 Kaithi Letter Nna
𑂈 Kaithi Letter Uu
𑂲 Kaithi Vowel Sign Ii
𑂞 Kaithi Letter Ta
𑂉 Kaithi Letter E
𑂳 Kaithi Vowel Sign U
𑂟 Kaithi Letter Tha
𑂊 Kaithi Letter Ai
𑂴 Kaithi Vowel Sign Uu
𑂠 Kaithi Letter Da
𑂋 Kaithi Letter O
𑂵 Kaithi Vowel Sign E
𑂡 Kaithi Letter Dha
𑂌 Kaithi Letter Au
𑂶 Kaithi Vowel Sign Ai
𑂢 Kaithi Letter Na
𑂍 Kaithi Letter Ka
𑂷 Kaithi Vowel Sign O
𑂣 Kaithi Letter Pa
𑂎 Kaithi Letter Kha
𑂸 Kaithi Vowel Sign Au
𑂤 Kaithi Letter Pha
𑂏 Kaithi Letter Ga
𑂹 Kaithi Sign Virama
𑂥 Kaithi Letter Ba
𑂐 Kaithi Letter Gha
