𛀀 Katakana Letter Archaic E
𛀁 Hiragana Letter Archaic Ye
𛀂 Hentaigana Letter A-1
𛀃 Hentaigana Letter A-2
𛀄 Hentaigana Letter A-3
𛀅 Hentaigana Letter A-Wo
𛀆 Hentaigana Letter I-1
𛀇 Hentaigana Letter I-2
𛀈 Hentaigana Letter I-3
𛀉 Hentaigana Letter I-4
𛀊 Hentaigana Letter U-1
𛀋 Hentaigana Letter U-2
𛀌 Hentaigana Letter U-3
𛀍 Hentaigana Letter U-4
𛀎 Hentaigana Letter U-5
𛀏 Hentaigana Letter E-2
𛀐 Hentaigana Letter E-3
𛀑 Hentaigana Letter E-4
𛀒 Hentaigana Letter E-5
𛀓 Hentaigana Letter E-6
𛀔 Hentaigana Letter O-1
𛀕 Hentaigana Letter O-2
𛀖 Hentaigana Letter O-3
𛀗 Hentaigana Letter Ka-1
𛀘 Hentaigana Letter Ka-2
𛀙 Hentaigana Letter Ka-3
𛀚 Hentaigana Letter Ka-4
𛀛 Hentaigana Letter Ka-5
𛀜 Hentaigana Letter Ka-6
𛀝 Hentaigana Letter Ka-7
𛀞 Hentaigana Letter Ka-8
𛀟 Hentaigana Letter Ka-9
𛀠 Hentaigana Letter Ka-10
𛀡 Hentaigana Letter Ka-11
𛀢 Hentaigana Letter Ka-Ke
𛀣 Hentaigana Letter Ki-1
𛀤 Hentaigana Letter Ki-2
𛀥 Hentaigana Letter Ki-3
𛀦 Hentaigana Letter Ki-4
𛀧 Hentaigana Letter Ki-5
𛀨 Hentaigana Letter Ki-6
𛀩 Hentaigana Letter Ki-7
𛀪 Hentaigana Letter Ki-8
𛀫 Hentaigana Letter Ku-1
𛀬 Hentaigana Letter Ku-2
𛀭 Hentaigana Letter Ku-3
𛀮 Hentaigana Letter Ku-4
𛀯 Hentaigana Letter Ku-5
𛀰 Hentaigana Letter Ku-6
𛀱 Hentaigana Letter Ku-7
𛀲 Hentaigana Letter Ke-1
𛀳 Hentaigana Letter Ke-2
