𐨡 Kharoshthi Letter Da
𐩘 Kharoshthi Punctuation Lines
𐨅 Kharoshthi Vowel Sign E
𐨸 Kharoshthi Sign Bar Above
𐨢 Kharoshthi Letter Dha
𐩗 Kharoshthi Punctuation Double Danda
𐨆 Kharoshthi Vowel Sign O
𐨹 Kharoshthi Sign Cauda
𐨣 Kharoshthi Letter Na
𐨌 Kharoshthi Vowel Length Mark
𐨺 Kharoshthi Sign Dot Below
𐨤 Kharoshthi Letter Pa
𐨍 Kharoshthi Sign Double Ring Below
𐨿 Kharoshthi Virama
𐨥 Kharoshthi Letter Pha
𐨎 Kharoshthi Sign Anusvara
𐩀 Kharoshthi Digit One
𐨦 Kharoshthi Letter Ba
𐨏 Kharoshthi Sign Visarga
𐩁 Kharoshthi Digit Two
𐨧 Kharoshthi Letter Bha
𐨐 Kharoshthi Letter Ka
𐩂 Kharoshthi Digit Three
𐨨 Kharoshthi Letter Ma
𐨑 Kharoshthi Letter Kha
𐩃 Kharoshthi Digit Four
𐨩 Kharoshthi Letter Ya
𐨒 Kharoshthi Letter Ga
𐩄 Kharoshthi Number Ten
𐨪 Kharoshthi Letter Ra
𐨓 Kharoshthi Letter Gha
𐩅 Kharoshthi Number Twenty
𐨫 Kharoshthi Letter La
𐨕 Kharoshthi Letter Ca
𐩆 Kharoshthi Number One Hundred
𐨬 Kharoshthi Letter Va
𐨖 Kharoshthi Letter Cha
𐩇 Kharoshthi Number One Thousand
𐨭 Kharoshthi Letter Sha
𐨗 Kharoshthi Letter Ja
𐩈 Kharoshthi Fraction One Half
𐨮 Kharoshthi Letter Ssa
𐨙 Kharoshthi Letter Nya
𐩐 Kharoshthi Punctuation Dot
𐨯 Kharoshthi Letter Sa
𐨚 Kharoshthi Letter Tta
𐩑 Kharoshthi Punctuation Small Circle
𐨰 Kharoshthi Letter Za
𐨛 Kharoshthi Letter Ttha
𐩒 Kharoshthi Punctuation Circle
𐨱 Kharoshthi Letter Ha
𐨜 Kharoshthi Letter Dda
𐩓 Kharoshthi Punctuation Crescent Bar
𐨀 Kharoshthi Letter A
𐨲 Kharoshthi Letter Kka
𐨝 Kharoshthi Letter Ddha
𐩔 Kharoshthi Punctuation Mangalam
𐨁 Kharoshthi Vowel Sign I
𐨳 Kharoshthi Letter Tttha
𐨞 Kharoshthi Letter Nna
𐩕 Kharoshthi Punctuation Lotus
𐨵 Kharoshthi Letter Vha
𐨂 Kharoshthi Vowel Sign U
𐨴 Kharoshthi Letter Ttta
𐨟 Kharoshthi Letter Ta
𐩖 Kharoshthi Punctuation Danda
𐨃 Kharoshthi Vowel Sign Vocalic R
𐨠 Kharoshthi Letter Tha
