ឦ Khmer Independent Vowel Qii
ឧ Khmer Independent Vowel Qu
ឨ Khmer Independent Vowel Quk
ឩ Khmer Independent Vowel Quu
ឪ Khmer Independent Vowel Quuv
ឫ Khmer Independent Vowel Ry
ឬ Khmer Independent Vowel Ryy
ឭ Khmer Independent Vowel Ly
ឮ Khmer Independent Vowel Lyy
ឯ Khmer Independent Vowel Qe
ឰ Khmer Independent Vowel Qai
ឱ Khmer Independent Vowel Qoo Type One
ឲ Khmer Independent Vowel Qoo Type Two
ឳ Khmer Independent Vowel Qau
឴ Khmer Vowel Inherent Aq
឵ Khmer Vowel Inherent Aa
ា Khmer Vowel Sign Aa
ិ Khmer Vowel Sign I
ី Khmer Vowel Sign Ii
ឹ Khmer Vowel Sign Y
ឺ Khmer Vowel Sign Yy
ុ Khmer Vowel Sign U
ូ Khmer Vowel Sign Uu
ួ Khmer Vowel Sign Ua
ើ Khmer Vowel Sign Oe
ឿ Khmer Vowel Sign Ya
ៀ Khmer Vowel Sign Ie
េ Khmer Vowel Sign E
ែ Khmer Vowel Sign Ae
ៃ Khmer Vowel Sign Ai
ោ Khmer Vowel Sign Oo
ៅ Khmer Vowel Sign Au
ំ Khmer Sign Nikahit
ះ Khmer Sign Reahmuk
ៈ Khmer Sign Yuukaleapintu
៉ Khmer Sign Muusikatoan
៊ Khmer Sign Triisap
់ Khmer Sign Bantoc
៌ Khmer Sign Robat
៍ Khmer Sign Toandakhiat
៎ Khmer Sign Kakabat
៏ Khmer Sign Ahsda
័ Khmer Sign Samyok Sannya
៑ Khmer Sign Viriam
្ Khmer Sign Coeng
៓ Khmer Sign Bathamasat
ក Khmer Letter Ka
។ Khmer Sign Khan
ខ Khmer Letter Kha
៕ Khmer Sign Bariyoosan
គ Khmer Letter Ko
៖ Khmer Sign Camnuc Pii Kuuh
ឃ Khmer Letter Kho
ៗ Khmer Sign Lek Too
ង Khmer Letter Ngo
៘ Khmer Sign Beyyal
ច Khmer Letter Ca
៙ Khmer Sign Phnaek Muan
ឆ Khmer Letter Cha
៚ Khmer Sign Koomuut
ជ Khmer Letter Co
៛ Khmer Currency Symbol Riel
ឈ Khmer Letter Cho
ៜ Khmer Sign Avakrahasanya
ញ Khmer Letter Nyo
៝ Khmer Sign Atthacan
ដ Khmer Letter Da
០ Khmer Digit Zero
ឋ Khmer Letter Ttha
១ Khmer Digit One
ឌ Khmer Letter Do
២ Khmer Digit Two
ឍ Khmer Letter Ttho
៣ Khmer Digit Three
ណ Khmer Letter Nno
៤ Khmer Digit Four
ត Khmer Letter Ta
៥ Khmer Digit Five
ថ Khmer Letter Tha
៦ Khmer Digit Six
ទ Khmer Letter To
៧ Khmer Digit Seven
ធ Khmer Letter Tho
៨ Khmer Digit Eight
ន Khmer Letter No
៩ Khmer Digit Nine
ប Khmer Letter Ba
៰ Khmer Symbol Lek Attak Son
ផ Khmer Letter Pha
៱ Khmer Symbol Lek Attak Muoy
ព Khmer Letter Po
៲ Khmer Symbol Lek Attak Pii
ភ Khmer Letter Pho
៳ Khmer Symbol Lek Attak Bei
ម Khmer Letter Mo
៴ Khmer Symbol Lek Attak Buon
យ Khmer Letter Yo
៵ Khmer Symbol Lek Attak Pram
រ Khmer Letter Ro
៶ Khmer Symbol Lek Attak Pram-Muoy
ល Khmer Letter Lo
៷ Khmer Symbol Lek Attak Pram-Pii
វ Khmer Letter Vo
៸ Khmer Symbol Lek Attak Pram-Bei
ឝ Khmer Letter Sha
៹ Khmer Symbol Lek Attak Pram-Buon
ឞ Khmer Letter Sso
ស Khmer Letter Sa
ហ Khmer Letter Ha
ឡ Khmer Letter La
អ Khmer Letter Qa
ឣ Khmer Independent Vowel Qaq
ឤ Khmer Independent Vowel Qaa
ឥ Khmer Independent Vowel Qi
