᧠ Khmer Symbol Pathamasat
᧡ Khmer Symbol Muoy Koet
᧢ Khmer Symbol Pii Koet
᧣ Khmer Symbol Bei Koet
᧤ Khmer Symbol Buon Koet
᧥ Khmer Symbol Pram Koet
᧦ Khmer Symbol Pram-Muoy Koet
᧧ Khmer Symbol Pram-Pii Koet
᧨ Khmer Symbol Pram-Bei Koet
᧩ Khmer Symbol Pram-Buon Koet
᧪ Khmer Symbol Dap Koet
᧫ Khmer Symbol Dap-Muoy Koet
᧬ Khmer Symbol Dap-Pii Koet
᧭ Khmer Symbol Dap-Bei Koet
᧮ Khmer Symbol Dap-Buon Koet
᧯ Khmer Symbol Dap-Pram Koet
᧰ Khmer Symbol Tuteyasat
᧱ Khmer Symbol Muoy Roc
᧲ Khmer Symbol Pii Roc
᧳ Khmer Symbol Bei Roc
᧴ Khmer Symbol Buon Roc
᧵ Khmer Symbol Pram Roc
᧶ Khmer Symbol Pram-Muoy Roc
᧷ Khmer Symbol Pram-Pii Roc
᧸ Khmer Symbol Pram-Bei Roc
᧹ Khmer Symbol Pram-Buon Roc
᧺ Khmer Symbol Dap Roc
᧻ Khmer Symbol Dap-Muoy Roc
᧼ Khmer Symbol Dap-Pii Roc
᧽ Khmer Symbol Dap-Bei Roc
᧾ Khmer Symbol Dap-Buon Roc
᧿ Khmer Symbol Dap-Pram Roc
