𑊼 Khudawadi Letter Ga
𑋦 Khudawadi Vowel Sign Ai
𑋑 Khudawadi Letter Na
𑊽 Khudawadi Letter Gga
𑋧 Khudawadi Vowel Sign O
𑋒 Khudawadi Letter Pa
𑊾 Khudawadi Letter Gha
𑋨 Khudawadi Vowel Sign Au
𑋓 Khudawadi Letter Pha
𑊿 Khudawadi Letter Nga
𑋩 Khudawadi Sign Nukta
𑋔 Khudawadi Letter Ba
𑋥 Khudawadi Vowel Sign E
𑋀 Khudawadi Letter Ca
𑋪 Khudawadi Sign Virama
𑋕 Khudawadi Letter Bba
𑋁 Khudawadi Letter Cha
𑋖 Khudawadi Letter Bha
𑋰 Khudawadi Digit Zero
𑋂 Khudawadi Letter Ja
𑋱 Khudawadi Digit One
𑋗 Khudawadi Letter Ma
𑋃 Khudawadi Letter Jja
𑋲 Khudawadi Digit Two
𑋘 Khudawadi Letter Ya
𑋄 Khudawadi Letter Jha
𑋳 Khudawadi Digit Three
𑋙 Khudawadi Letter Ra
𑋅 Khudawadi Letter Nya
𑋴 Khudawadi Digit Four
𑊰 Khudawadi Letter A
𑋚 Khudawadi Letter La
𑋆 Khudawadi Letter Tta
𑋵 Khudawadi Digit Five
𑊱 Khudawadi Letter Aa
𑋛 Khudawadi Letter Va
𑋇 Khudawadi Letter Ttha
𑋶 Khudawadi Digit Six
𑊲 Khudawadi Letter I
𑋜 Khudawadi Letter Sha
𑋈 Khudawadi Letter Dda
𑋷 Khudawadi Digit Seven
𑊳 Khudawadi Letter Ii
𑋝 Khudawadi Letter Sa
𑋉 Khudawadi Letter Ddda
𑋸 Khudawadi Digit Eight
𑊴 Khudawadi Letter U
𑋞 Khudawadi Letter Ha
𑋊 Khudawadi Letter Rra
𑋹 Khudawadi Digit Nine
𑊵 Khudawadi Letter Uu
𑋟 Khudawadi Sign Anusvara
𑋋 Khudawadi Letter Ddha
𑊶 Khudawadi Letter E
𑋠 Khudawadi Vowel Sign Aa
𑋌 Khudawadi Letter Nna
𑊷 Khudawadi Letter Ai
𑋡 Khudawadi Vowel Sign I
𑋍 Khudawadi Letter Ta
𑊸 Khudawadi Letter O
𑋢 Khudawadi Vowel Sign Ii
𑋎 Khudawadi Letter Tha
𑊹 Khudawadi Letter Au
𑋣 Khudawadi Vowel Sign U
𑋏 Khudawadi Letter Da
𑊺 Khudawadi Letter Ka
𑋤 Khudawadi Vowel Sign Uu
𑋐 Khudawadi Letter Dha
𑊻 Khudawadi Letter Kha
