ກ Lao Letter Ko
ຂ Lao Letter Kho Sung
ຄ Lao Letter Kho Tam
ຆ Lao Letter Pali Gha
ງ Lao Letter Ngo
ຈ Lao Letter Co
ຉ Lao Letter Pali Cha
ຊ Lao Letter So Tam
ຌ Lao Letter Pali Jha
ຸ Lao Vowel Sign U
ຍ Lao Letter Nyo
ູ Lao Vowel Sign Uu
ຎ Lao Letter Pali Nya
຺ Lao Sign Pali Virama
ຏ Lao Letter Pali Tta
ົ Lao Vowel Sign Mai Kon
ຐ Lao Letter Pali Ttha
ຼ Lao Semivowel Sign Lo
ຑ Lao Letter Pali Dda
ຽ Lao Semivowel Sign Nyo
ຒ Lao Letter Pali Ddha
ເ Lao Vowel Sign E
ຓ Lao Letter Pali Nna
ແ Lao Vowel Sign Ei
ດ Lao Letter Do
ໂ Lao Vowel Sign O
ຕ Lao Letter To
ໃ Lao Vowel Sign Ay
ຖ Lao Letter Tho Sung
ໄ Lao Vowel Sign Ai
ທ Lao Letter Tho Tam
ໆ Lao Ko La
ຘ Lao Letter Pali Dha
່ Lao Tone Mai Ek
ນ Lao Letter No
້ Lao Tone Mai Tho
ບ Lao Letter Bo
໊ Lao Tone Mai Ti
ປ Lao Letter Po
໋ Lao Tone Mai Catawa
ຜ Lao Letter Pho Sung
໌ Lao Cancellation Mark
ຝ Lao Letter Fo Tam
ໍ Lao Niggahita
ພ Lao Letter Pho Tam
໐ Lao Digit Zero
ຟ Lao Letter Fo Sung
໑ Lao Digit One
໒ Lao Digit Two
ຠ Lao Letter Pali Bha
ມ Lao Letter Mo
໓ Lao Digit Three
ຢ Lao Letter Yo
໔ Lao Digit Four
ຣ Lao Letter Lo Ling
໕ Lao Digit Five
ລ Lao Letter Lo Loot
໖ Lao Digit Six
ວ Lao Letter Wo
໗ Lao Digit Seven
ຨ Lao Letter Sanskrit Sha
໘ Lao Digit Eight
ຩ Lao Letter Sanskrit Ssa
໙ Lao Digit Nine
ສ Lao Letter So Sung
ໜ Lao Ho No
ຫ Lao Letter Ho Sung
ໝ Lao Ho Mo
ຬ Lao Letter Pali Lla
ໞ Lao Letter Khmu Go
ອ Lao Letter O
ໟ Lao Letter Khmu Nyo
ຮ Lao Letter Ho Tam
ຯ Lao Ellipsis
ະ Lao Vowel Sign A
ັ Lao Vowel Sign Mai Kan
າ Lao Vowel Sign Aa
ຳ Lao Vowel Sign Am
ິ Lao Vowel Sign I
ີ Lao Vowel Sign Ii
ຶ Lao Vowel Sign Y
ື Lao Vowel Sign Yy
