ᰴ Lepcha Consonant Sign Nyin-Do
ᰋ Lepcha Letter Tha
ᰵ Lepcha Consonant Sign Kang
ᰠ Lepcha Letter Sa
ᰌ Lepcha Letter Da
ᰶ Lepcha Sign Ran
ᰡ Lepcha Letter Sha
ᰍ Lepcha Letter Na
᰷ Lepcha Sign Nukta
ᰢ Lepcha Letter Wa
ᰎ Lepcha Letter Pa
᰻ Lepcha Punctuation Ta-Rol
ᰣ Lepcha Letter A
ᱏ Lepcha Letter Dda
ᰏ Lepcha Letter Pla
᰼ Lepcha Punctuation Nyet Thyoom Ta-Rol
ᰤ Lepcha Subjoined Letter Ya
ᰐ Lepcha Letter Pha
ᰥ Lepcha Subjoined Letter Ra
᰽ Lepcha Punctuation Cer-Wa
ᰑ Lepcha Letter Fa
᰾ Lepcha Punctuation Tshook Cer-Wa
ᰦ Lepcha Vowel Sign Aa
ᰒ Lepcha Letter Fla
᰿ Lepcha Punctuation Tshook
ᰧ Lepcha Vowel Sign I
ᰓ Lepcha Letter Ba
᱀ Lepcha Digit Zero
ᰨ Lepcha Vowel Sign O
ᰔ Lepcha Letter Bla
᱁ Lepcha Digit One
ᰩ Lepcha Vowel Sign Oo
ᰕ Lepcha Letter Ma
᱂ Lepcha Digit Two
ᰀ Lepcha Letter Ka
ᰪ Lepcha Vowel Sign U
ᰖ Lepcha Letter Mla
᱃ Lepcha Digit Three
ᰁ Lepcha Letter Kla
ᰫ Lepcha Vowel Sign Uu
ᰗ Lepcha Letter Tsa
᱄ Lepcha Digit Four
ᰂ Lepcha Letter Kha
ᰬ Lepcha Vowel Sign E
ᰘ Lepcha Letter Tsha
᱅ Lepcha Digit Five
ᰃ Lepcha Letter Ga
ᰭ Lepcha Consonant Sign K
ᰙ Lepcha Letter Dza
᱆ Lepcha Digit Six
ᰄ Lepcha Letter Gla
ᰮ Lepcha Consonant Sign M
ᰚ Lepcha Letter Ya
᱇ Lepcha Digit Seven
ᰅ Lepcha Letter Nga
ᰯ Lepcha Consonant Sign L
ᰛ Lepcha Letter Ra
᱈ Lepcha Digit Eight
ᰆ Lepcha Letter Ca
ᰰ Lepcha Consonant Sign N
ᰜ Lepcha Letter La
᱉ Lepcha Digit Nine
ᰇ Lepcha Letter Cha
ᰱ Lepcha Consonant Sign P
ᰝ Lepcha Letter Ha
ᱍ Lepcha Letter Tta
ᰈ Lepcha Letter Ja
ᰲ Lepcha Consonant Sign R
ᰞ Lepcha Letter Hla
ᱎ Lepcha Letter Ttha
ᰉ Lepcha Letter Nya
ᰳ Lepcha Consonant Sign T
ᰟ Lepcha Letter Va
ᰊ Lepcha Letter Ta
