ᤌ Limbu Letter Tha
᤻ Limbu Sign Sa-I
ᤢ Limbu Vowel Sign U
ᤍ Limbu Letter Da
᥀ Limbu Sign Loo
ᤣ Limbu Vowel Sign Ee
ᤎ Limbu Letter Dha
᥄ Limbu Exclamation Mark
ᤤ Limbu Vowel Sign Ai
ᤏ Limbu Letter Na
᥅ Limbu Question Mark
ᤥ Limbu Vowel Sign Oo
ᤐ Limbu Letter Pa
᥆ Limbu Digit Zero
ᤦ Limbu Vowel Sign Au
ᤑ Limbu Letter Pha
ᤧ Limbu Vowel Sign E
᥇ Limbu Digit One
ᤒ Limbu Letter Ba
᥈ Limbu Digit Two
ᤨ Limbu Vowel Sign O
ᤓ Limbu Letter Bha
᥉ Limbu Digit Three
ᤩ Limbu Subjoined Letter Ya
ᤔ Limbu Letter Ma
᥊ Limbu Digit Four
ᤪ Limbu Subjoined Letter Ra
ᤕ Limbu Letter Ya
᥋ Limbu Digit Five
ᤀ Limbu Vowel-Carrier Letter
ᤫ Limbu Subjoined Letter Wa
ᤖ Limbu Letter Ra
᥌ Limbu Digit Six
ᤁ Limbu Letter Ka
ᤰ Limbu Small Letter Ka
ᤗ Limbu Letter La
᥍ Limbu Digit Seven
ᤂ Limbu Letter Kha
ᤱ Limbu Small Letter Nga
ᤘ Limbu Letter Wa
᥎ Limbu Digit Eight
ᤃ Limbu Letter Ga
ᤲ Limbu Small Letter Anusvara
ᤙ Limbu Letter Sha
᥏ Limbu Digit Nine
ᤄ Limbu Letter Gha
ᤳ Limbu Small Letter Ta
ᤚ Limbu Letter Ssa
ᤅ Limbu Letter Nga
ᤴ Limbu Small Letter Na
ᤛ Limbu Letter Sa
ᤆ Limbu Letter Ca
ᤵ Limbu Small Letter Pa
ᤜ Limbu Letter Ha
ᤇ Limbu Letter Cha
ᤶ Limbu Small Letter Ma
ᤝ Limbu Letter Gyan
ᤈ Limbu Letter Ja
ᤷ Limbu Small Letter Ra
ᤞ Limbu Letter Tra
ᤉ Limbu Letter Jha
ᤸ Limbu Small Letter La
᤺ Limbu Sign Kemphreng
ᤠ Limbu Vowel Sign A
ᤊ Limbu Letter Yan
᤹ Limbu Sign Mukphreng
ᤡ Limbu Vowel Sign I
ᤋ Limbu Letter Ta
