𐛋 Linear A Sign A531
𐜟 Linear A Sign A637
𐛌 Linear A Sign A532
𐜠 Linear A Sign A638
𐛍 Linear A Sign A534
𐜡 Linear A Sign A640
𐛎 Linear A Sign A535
𐜢 Linear A Sign A642
𐛏 Linear A Sign A536
𐜣 Linear A Sign A643
𐛐 Linear A Sign A537
𐜤 Linear A Sign A644
𐛑 Linear A Sign A538
𐜥 Linear A Sign A645
𐘀 Linear A Sign Ab001
𐛒 Linear A Sign A539
𐜦 Linear A Sign A646
𐘁 Linear A Sign Ab002
𐛓 Linear A Sign A540
𐜧 Linear A Sign A648
𐘂 Linear A Sign Ab003
𐛔 Linear A Sign A541
𐜨 Linear A Sign A649
𐘃 Linear A Sign Ab004
𐛕 Linear A Sign A542
𐜩 Linear A Sign A651
𐘄 Linear A Sign Ab005
𐛖 Linear A Sign A545
𐜪 Linear A Sign A652
𐘅 Linear A Sign Ab006
𐛗 Linear A Sign A547
𐜫 Linear A Sign A653
𐘆 Linear A Sign Ab007
𐛘 Linear A Sign A548
𐜬 Linear A Sign A654
𐘇 Linear A Sign Ab008
𐛙 Linear A Sign A549
𐜭 Linear A Sign A655
𐘈 Linear A Sign Ab009
𐛚 Linear A Sign A550
𐜮 Linear A Sign A656
𐘉 Linear A Sign Ab010
𐛛 Linear A Sign A551
𐜯 Linear A Sign A657
𐘊 Linear A Sign Ab011
𐛜 Linear A Sign A552
𐜰 Linear A Sign A658
𐘋 Linear A Sign Ab013
𐛝 Linear A Sign A553
𐜱 Linear A Sign A659
𐘌 Linear A Sign Ab016
𐛞 Linear A Sign A554
𐜲 Linear A Sign A660
𐘍 Linear A Sign Ab017
𐛟 Linear A Sign A555
𐜳 Linear A Sign A661
𐘎 Linear A Sign Ab020
𐛠 Linear A Sign A556
𐜴 Linear A Sign A662
𐘏 Linear A Sign Ab021
𐛡 Linear A Sign A557
𐜵 Linear A Sign A663
𐘐 Linear A Sign Ab021F
𐛢 Linear A Sign A559
𐜶 Linear A Sign A664
𐘑 Linear A Sign Ab021M
𐛣 Linear A Sign A563
𐝀 Linear A Sign A701 A
𐘒 Linear A Sign Ab022
𐛤 Linear A Sign A564
𐝁 Linear A Sign A702 B
𐘓 Linear A Sign Ab022F
𐛥 Linear A Sign A565
𐝂 Linear A Sign A703 D
𐘔 Linear A Sign Ab022M
𐛦 Linear A Sign A566
𐝃 Linear A Sign A704 E
𐘕 Linear A Sign Ab023
𐛧 Linear A Sign A568
𐝄 Linear A Sign A705 F
𐘖 Linear A Sign Ab023M
𐛨 Linear A Sign A569
𐝅 Linear A Sign A706 H
𐘗 Linear A Sign Ab024
𐛩 Linear A Sign A570
𐝆 Linear A Sign A707 J
𐘘 Linear A Sign Ab026
𐛪 Linear A Sign A571
𐝇 Linear A Sign A708 K
𐘙 Linear A Sign Ab027
𐛫 Linear A Sign A572
𐝈 Linear A Sign A709 L
𐘚 Linear A Sign Ab028
𐛬 Linear A Sign A573
𐝉 Linear A Sign A709-2 L2
𐘛 Linear A Sign A028B
𐛭 Linear A Sign A574
𐝊 Linear A Sign A709-3 L3
𐘜 Linear A Sign Ab029
𐛮 Linear A Sign A575
𐝋 Linear A Sign A709-4 L4
𐘝 Linear A Sign Ab030
𐛯 Linear A Sign A576
𐝌 Linear A Sign A709-6 L6
𐘞 Linear A Sign Ab031
𐛰 Linear A Sign A577
𐝍 Linear A Sign A710 W
𐘟 Linear A Sign Ab034
𐛱 Linear A Sign A578
𐝎 Linear A Sign A711 X
𐘠 Linear A Sign Ab037
𐛲 Linear A Sign A579
𐝏 Linear A Sign A712 Y
𐘡 Linear A Sign Ab038
𐛳 Linear A Sign A580
𐝐 Linear A Sign A713 Omega
𐘢 Linear A Sign Ab039
𐛴 Linear A Sign A581
𐝑 Linear A Sign A714 Abb
𐙷 Linear A Sign A331
𐝒 Linear A Sign A715 Bb
𐙸 Linear A Sign A332
𐝓 Linear A Sign A717 Dd
𐙹 Linear A Sign A333
𐝔 Linear A Sign A726 Eyyy
𐙺 Linear A Sign A334
𐝕 Linear A Sign A732 Je
𐙻 Linear A Sign A335
𐝠 Linear A Sign A800
𐙼 Linear A Sign A336
