‎𐤠 Lydian Letter A
‎𐤡 Lydian Letter B
‎𐤢 Lydian Letter G
‎𐤣 Lydian Letter D
‎𐤤 Lydian Letter E
‎𐤥 Lydian Letter V
‎𐤦 Lydian Letter I
‎𐤧 Lydian Letter Y
‎𐤨 Lydian Letter K
‎𐤩 Lydian Letter L
‎𐤪 Lydian Letter M
‎𐤫 Lydian Letter N
‎𐤬 Lydian Letter O
‎𐤭 Lydian Letter R
‎𐤮 Lydian Letter Ss
‎𐤯 Lydian Letter T
‎𐤰 Lydian Letter U
‎𐤱 Lydian Letter F
‎𐤲 Lydian Letter Q
‎𐤳 Lydian Letter S
‎𐤴 Lydian Letter Tt
‎𐤵 Lydian Letter An
‎𐤶 Lydian Letter En
‎𐤷 Lydian Letter Ly
‎𐤸 Lydian Letter Nn
‎𐤹 Lydian Letter C
‎𐤿 Lydian Triangular Mark
