𑻠 Makasar Letter Ka
𑻡 Makasar Letter Ga
𑻢 Makasar Letter Nga
𑻣 Makasar Letter Pa
𑻤 Makasar Letter Ba
𑻥 Makasar Letter Ma
𑻦 Makasar Letter Ta
𑻧 Makasar Letter Da
𑻨 Makasar Letter Na
𑻩 Makasar Letter Ca
𑻪 Makasar Letter Ja
𑻫 Makasar Letter Nya
𑻬 Makasar Letter Ya
𑻭 Makasar Letter Ra
𑻮 Makasar Letter La
𑻯 Makasar Letter Va
𑻰 Makasar Letter Sa
𑻱 Makasar Letter A
𑻲 Makasar Angka
𑻳 Makasar Vowel Sign I
𑻴 Makasar Vowel Sign U
𑻵 Makasar Vowel Sign E
𑻶 Makasar Vowel Sign O
𑻷 Makasar Passimbang
𑻸 Makasar End Of Section
