𐫓 Manichaean Letter Lamedh
𐫬 Manichaean Number Five
𐫔 Manichaean Letter Dhamedh
𐫭 Manichaean Number Ten
𐫕 Manichaean Letter Thamedh
𐫀 Manichaean Letter Aleph
𐫮 Manichaean Number Twenty
𐫖 Manichaean Letter Mem
𐫁 Manichaean Letter Beth
𐫯 Manichaean Number One Hundred
𐫗 Manichaean Letter Nun
𐫂 Manichaean Letter Bheth
𐫰 Manichaean Punctuation Star
𐫘 Manichaean Letter Samekh
𐫃 Manichaean Letter Gimel
𐫱 Manichaean Punctuation Fleuron
𐫙 Manichaean Letter Ayin
𐫄 Manichaean Letter Ghimel
𐫲 Manichaean Punctuation Double Dot Within Dot
𐫚 Manichaean Letter Aayin
𐫅 Manichaean Letter Daleth
𐫳 Manichaean Punctuation Dot Within Dot
𐫛 Manichaean Letter Pe
𐫆 Manichaean Letter He
𐫴 Manichaean Punctuation Dot
𐫜 Manichaean Letter Fe
𐫇 Manichaean Letter Waw
𐫵 Manichaean Punctuation Two Dots
𐫝 Manichaean Letter Sadhe
𐫈 Manichaean Sign Ud
𐫶 Manichaean Punctuation Line Filler
𐫞 Manichaean Letter Qoph
𐫉 Manichaean Letter Zayin
𐫟 Manichaean Letter Xoph
𐫊 Manichaean Letter Zhayin
𐫠 Manichaean Letter Qhoph
𐫋 Manichaean Letter Jayin
𐫡 Manichaean Letter Resh
𐫌 Manichaean Letter Jhayin
𐫢 Manichaean Letter Shin
𐫍 Manichaean Letter Heth
𐫣 Manichaean Letter Sshin
𐫎 Manichaean Letter Teth
𐫤 Manichaean Letter Taw
𐫏 Manichaean Letter Yodh
𐫥 Manichaean Abbreviation Mark Above
𐫐 Manichaean Letter Kaph
𐫦 Manichaean Abbreviation Mark Below
𐫑 Manichaean Letter Xaph
𐫫 Manichaean Number One
𐫒 Manichaean Letter Khaph
