𑴀 Masaram Gondi Letter A
𑴁 Masaram Gondi Letter Aa
𑴂 Masaram Gondi Letter I
𑴃 Masaram Gondi Letter Ii
𑴄 Masaram Gondi Letter U
𑴅 Masaram Gondi Letter Uu
𑴆 Masaram Gondi Letter E
𑴈 Masaram Gondi Letter Ai
𑴉 Masaram Gondi Letter O
𑴋 Masaram Gondi Letter Au
𑴌 Masaram Gondi Letter Ka
𑴍 Masaram Gondi Letter Kha
𑴎 Masaram Gondi Letter Ga
𑴏 Masaram Gondi Letter Gha
𑴐 Masaram Gondi Letter Nga
𑴑 Masaram Gondi Letter Ca
𑴒 Masaram Gondi Letter Cha
𑴓 Masaram Gondi Letter Ja
𑴔 Masaram Gondi Letter Jha
𑴕 Masaram Gondi Letter Nya
𑴖 Masaram Gondi Letter Tta
𑴗 Masaram Gondi Letter Ttha
𑴘 Masaram Gondi Letter Dda
𑴙 Masaram Gondi Letter Ddha
𑴚 Masaram Gondi Letter Nna
𑴛 Masaram Gondi Letter Ta
𑴜 Masaram Gondi Letter Tha
𑴝 Masaram Gondi Letter Da
𑴞 Masaram Gondi Letter Dha
𑴟 Masaram Gondi Letter Na
𑴠 Masaram Gondi Letter Pa
𑴡 Masaram Gondi Letter Pha
𑴢 Masaram Gondi Letter Ba
𑴣 Masaram Gondi Letter Bha
𑴤 Masaram Gondi Letter Ma
𑴥 Masaram Gondi Letter Ya
𑴦 Masaram Gondi Letter Ra
𑴧 Masaram Gondi Letter La
𑴨 Masaram Gondi Letter Va
𑴩 Masaram Gondi Letter Sha
𑴪 Masaram Gondi Letter Ssa
𑴫 Masaram Gondi Letter Sa
𑴬 Masaram Gondi Letter Ha
𑴭 Masaram Gondi Letter Lla
𑴮 Masaram Gondi Letter Kssa
𑴯 Masaram Gondi Letter Jnya
𑴰 Masaram Gondi Letter Tra
𑴱 Masaram Gondi Vowel Sign Aa
𑴲 Masaram Gondi Vowel Sign I
𑴳 Masaram Gondi Vowel Sign Ii
𑴴 Masaram Gondi Vowel Sign U
𑴵 Masaram Gondi Vowel Sign Uu
𑴶 Masaram Gondi Vowel Sign Vocalic R
𑴺 Masaram Gondi Vowel Sign E
𑴼 Masaram Gondi Vowel Sign Ai
𑴽 Masaram Gondi Vowel Sign O
𑴿 Masaram Gondi Vowel Sign Au
𑵀 Masaram Gondi Sign Anusvara
𑵁 Masaram Gondi Sign Visarga
𑵂 Masaram Gondi Sign Nukta
𑵃 Masaram Gondi Sign Candra
𑵄 Masaram Gondi Sign Halanta
𑵅 Masaram Gondi Virama
𑵆 Masaram Gondi Repha
𑵇 Masaram Gondi Ra-Kara
𑵐 Masaram Gondi Digit Zero
𑵑 Masaram Gondi Digit One
𑵒 Masaram Gondi Digit Two
𑵓 Masaram Gondi Digit Three
𑵔 Masaram Gondi Digit Four
𑵕 Masaram Gondi Digit Five
𑵖 Masaram Gondi Digit Six
𑵗 Masaram Gondi Digit Seven
𑵘 Masaram Gondi Digit Eight
𑵙 Masaram Gondi Digit Nine
