꜋ Modifier Letter Low Dotted Tone Bar
꜌ Modifier Letter Extra-Low Dotted Tone Bar
꜍ Modifier Letter Extra-High Dotted Left-Stem Tone Bar
꜎ Modifier Letter High Dotted Left-Stem Tone Bar
꜏ Modifier Letter Mid Dotted Left-Stem Tone Bar
꜐ Modifier Letter Low Dotted Left-Stem Tone Bar
꜑ Modifier Letter Extra-Low Dotted Left-Stem Tone Bar
꜒ Modifier Letter Extra-High Left-Stem Tone Bar
꜓ Modifier Letter High Left-Stem Tone Bar
꜔ Modifier Letter Mid Left-Stem Tone Bar
꜕ Modifier Letter Low Left-Stem Tone Bar
꜀ Modifier Letter Chinese Tone Yin Ping
꜖ Modifier Letter Extra-Low Left-Stem Tone Bar
꜁ Modifier Letter Chinese Tone Yang Ping
ꜗ Modifier Letter Dot Vertical Bar
꜂ Modifier Letter Chinese Tone Yin Shang
ꜘ Modifier Letter Dot Slash
꜃ Modifier Letter Chinese Tone Yang Shang
ꜙ Modifier Letter Dot Horizontal Bar
꜄ Modifier Letter Chinese Tone Yin Qu
ꜚ Modifier Letter Lower Right Corner Angle
꜅ Modifier Letter Chinese Tone Yang Qu
ꜛ Modifier Letter Raised Up Arrow
꜆ Modifier Letter Chinese Tone Yin Ru
ꜜ Modifier Letter Raised Down Arrow
꜇ Modifier Letter Chinese Tone Yang Ru
ꜝ Modifier Letter Raised Exclamation Mark
꜈ Modifier Letter Extra-High Dotted Tone Bar
ꜞ Modifier Letter Raised Inverted Exclamation Mark
꜉ Modifier Letter High Dotted Tone Bar
ꜟ Modifier Letter Low Inverted Exclamation Mark
꜊ Modifier Letter Mid Dotted Tone Bar
