𖩔 Mro Letter Shi
𖩮 Mro Danda
𖩕 Mro Letter Thea
𖩀 Mro Letter Ta
𖩯 Mro Double Danda
𖩖 Mro Letter Ea
𖩁 Mro Letter Ngi
𖩗 Mro Letter Wa
𖩂 Mro Letter Yo
𖩘 Mro Letter E
𖩃 Mro Letter Mim
𖩙 Mro Letter Ko
𖩄 Mro Letter Ba
𖩚 Mro Letter Lan
𖩅 Mro Letter Da
𖩛 Mro Letter La
𖩆 Mro Letter A
𖩜 Mro Letter Hai
𖩇 Mro Letter Phi
𖩝 Mro Letter Ri
𖩈 Mro Letter Khai
𖩞 Mro Letter Tek
𖩉 Mro Letter Hao
𖩠 Mro Digit Zero
𖩊 Mro Letter Dai
𖩡 Mro Digit One
𖩋 Mro Letter Chu
𖩢 Mro Digit Two
𖩌 Mro Letter Keaae
𖩣 Mro Digit Three
𖩍 Mro Letter Ol
𖩤 Mro Digit Four
𖩎 Mro Letter Maem
𖩥 Mro Digit Five
𖩏 Mro Letter Nin
𖩦 Mro Digit Six
𖩐 Mro Letter Pa
𖩧 Mro Digit Seven
𖩑 Mro Letter Oo
𖩨 Mro Digit Eight
𖩒 Mro Letter O
𖩩 Mro Digit Nine
𖩓 Mro Letter Ro
