ꧦ Myanmar Modifier Letter Shan Reduplication
ꧻ Myanmar Letter Tai Laing Da
ꧧ Myanmar Letter Tai Laing Nya
ꧼ Myanmar Letter Tai Laing Dha
ꧨ Myanmar Letter Tai Laing Fa
ꧽ Myanmar Letter Tai Laing Ba
ꧩ Myanmar Letter Tai Laing Ga
ꧾ Myanmar Letter Tai Laing Bha
ꧪ Myanmar Letter Tai Laing Gha
ꧫ Myanmar Letter Tai Laing Ja
ꧬ Myanmar Letter Tai Laing Jha
ꧭ Myanmar Letter Tai Laing Dda
ꧮ Myanmar Letter Tai Laing Ddha
ꧯ Myanmar Letter Tai Laing Nna
꧰ Myanmar Tai Laing Digit Zero
꧱ Myanmar Tai Laing Digit One
꧲ Myanmar Tai Laing Digit Two
꧳ Myanmar Tai Laing Digit Three
꧴ Myanmar Tai Laing Digit Four
꧵ Myanmar Tai Laing Digit Five
ꧠ Myanmar Letter Shan Gha
꧶ Myanmar Tai Laing Digit Six
ꧡ Myanmar Letter Shan Cha
꧷ Myanmar Tai Laing Digit Seven
ꧢ Myanmar Letter Shan Jha
꧸ Myanmar Tai Laing Digit Eight
ꧣ Myanmar Letter Shan Nna
꧹ Myanmar Tai Laing Digit Nine
ꧤ Myanmar Letter Shan Bha
ꧺ Myanmar Letter Tai Laing Lla
ꧥ Myanmar Sign Shan Saw
