𐢑 Nabataean Letter Lamedh
𐢮 Nabataean Number Twenty
𐢒 Nabataean Letter Final Mem
𐢯 Nabataean Number One Hundred
𐢓 Nabataean Letter Mem
𐢔 Nabataean Letter Final Nun
𐢕 Nabataean Letter Nun
𐢀 Nabataean Letter Final Aleph
𐢖 Nabataean Letter Samekh
𐢁 Nabataean Letter Aleph
𐢗 Nabataean Letter Ayin
𐢂 Nabataean Letter Final Beth
𐢘 Nabataean Letter Pe
𐢃 Nabataean Letter Beth
𐢙 Nabataean Letter Sadhe
𐢄 Nabataean Letter Gimel
𐢚 Nabataean Letter Qoph
𐢅 Nabataean Letter Daleth
𐢛 Nabataean Letter Resh
𐢆 Nabataean Letter Final He
𐢜 Nabataean Letter Final Shin
𐢇 Nabataean Letter He
𐢝 Nabataean Letter Shin
𐢈 Nabataean Letter Waw
𐢞 Nabataean Letter Taw
𐢉 Nabataean Letter Zayin
𐢧 Nabataean Number One
𐢊 Nabataean Letter Heth
𐢨 Nabataean Number Two
𐢋 Nabataean Letter Teth
𐢩 Nabataean Number Three
𐢌 Nabataean Letter Final Yodh
𐢪 Nabataean Number Four
𐢍 Nabataean Letter Yodh
𐢫 Nabataean Cruciform Number Four
𐢎 Nabataean Letter Final Kaph
𐢬 Nabataean Number Five
𐢏 Nabataean Letter Kaph
𐢭 Nabataean Number Ten
𐢐 Nabataean Letter Final Lamedh
