𑦼 Nandinagari Letter Nna
𑦥 Nandinagari Letter Uu
𑧑 Nandinagari Vowel Sign Aa
𑦽 Nandinagari Letter Ta
𑦦 Nandinagari Letter Vocalic R
𑧒 Nandinagari Vowel Sign I
𑦾 Nandinagari Letter Tha
𑦧 Nandinagari Letter Vocalic Rr
𑧓 Nandinagari Vowel Sign Ii
𑦿 Nandinagari Letter Da
𑦪 Nandinagari Letter E
𑧔 Nandinagari Vowel Sign U
𑧀 Nandinagari Letter Dha
𑦫 Nandinagari Letter Ai
𑧕 Nandinagari Vowel Sign Uu
𑧁 Nandinagari Letter Na
𑦬 Nandinagari Letter O
𑧖 Nandinagari Vowel Sign Vocalic R
𑧂 Nandinagari Letter Pa
𑦭 Nandinagari Letter Au
𑧗 Nandinagari Vowel Sign Vocalic Rr
𑧃 Nandinagari Letter Pha
𑦮 Nandinagari Letter Ka
𑧚 Nandinagari Vowel Sign E
𑧄 Nandinagari Letter Ba
𑦯 Nandinagari Letter Kha
𑧛 Nandinagari Vowel Sign Ai
𑧅 Nandinagari Letter Bha
𑦰 Nandinagari Letter Ga
𑧜 Nandinagari Vowel Sign O
𑧆 Nandinagari Letter Ma
𑦱 Nandinagari Letter Gha
𑧝 Nandinagari Vowel Sign Au
𑧇 Nandinagari Letter Ya
𑦲 Nandinagari Letter Nga
𑧞 Nandinagari Sign Anusvara
𑧈 Nandinagari Letter Ra
𑦳 Nandinagari Letter Ca
𑧟 Nandinagari Sign Visarga
𑧉 Nandinagari Letter La
𑦴 Nandinagari Letter Cha
𑧠 Nandinagari Sign Virama
𑧊 Nandinagari Letter Va
𑦵 Nandinagari Letter Ja
𑧡 Nandinagari Sign Avagraha
𑧋 Nandinagari Letter Sha
𑦶 Nandinagari Letter Jha
𑧢 Nandinagari Sign Siddham
𑦠 Nandinagari Letter A
𑧌 Nandinagari Letter Ssa
𑦷 Nandinagari Letter Nya
𑧣 Nandinagari Headstroke
𑦡 Nandinagari Letter Aa
𑧍 Nandinagari Letter Sa
𑦸 Nandinagari Letter Tta
𑧐 Nandinagari Letter Rra
𑧤 Nandinagari Vowel Sign Prishthamatra E
𑦢 Nandinagari Letter I
𑧎 Nandinagari Letter Ha
𑦹 Nandinagari Letter Ttha
𑦣 Nandinagari Letter Ii
𑧏 Nandinagari Letter Lla
𑦺 Nandinagari Letter Dda
𑦤 Nandinagari Letter U
𑦻 Nandinagari Letter Ddha
