߂ Nko Digit Two
߬ Nko Combining Short Low Tone
ߗ Nko Letter Cha
߃ Nko Digit Three
߭ Nko Combining Short Rising Tone
ߘ Nko Letter Da
߄ Nko Digit Four
߮ Nko Combining Long Descending Tone
ߙ Nko Letter Ra
߅ Nko Digit Five
߯ Nko Combining Long High Tone
ߚ Nko Letter Rra
߆ Nko Digit Six
߰ Nko Combining Long Low Tone
ߛ Nko Letter Sa
߇ Nko Digit Seven
߱ Nko Combining Long Rising Tone
ߜ Nko Letter Gba
߈ Nko Digit Eight
߲ Nko Combining Nasalization Mark
ߝ Nko Letter Fa
߉ Nko Digit Nine
߳ Nko Combining Double Dot Above
ߞ Nko Letter Ka
ߊ Nko Letter A
ߴ Nko High Tone Apostrophe
ߟ Nko Letter La
ߋ Nko Letter Ee
ߵ Nko Low Tone Apostrophe
ߠ Nko Letter Na Woloso
ߌ Nko Letter I
߶ Nko Symbol Oo Dennen
ߡ Nko Letter Ma
ߍ Nko Letter E
߷ Nko Symbol Gbakurunen
ߢ Nko Letter Nya
ߎ Nko Letter U
߸ Nko Comma
ߣ Nko Letter Na
ߏ Nko Letter Oo
߹ Nko Exclamation Mark
ߤ Nko Letter Ha
ߐ Nko Letter O
ߺ Nko Lajanyalan
ߥ Nko Letter Wa
߫ Nko Combining Short High Tone
ߑ Nko Letter Dagbasinna
߽ Nko Dantayalan
ߦ Nko Letter Ya
ߒ Nko Letter N
߾ Nko Dorome Sign
ߧ Nko Letter Nya Woloso
ߓ Nko Letter Ba
߿ Nko Taman Sign
ߨ Nko Letter Jona Ja
ߔ Nko Letter Pa
ߩ Nko Letter Jona Cha
ߕ Nko Letter Ta
߀ Nko Digit Zero
ߪ Nko Letter Jona Ra
ߖ Nko Letter Ja
߁ Nko Digit One
