ᚆ Ogham Letter Uath
᚛ Ogham Feather Mark
ᚇ Ogham Letter Dair
᚜ Ogham Reversed Feather Mark
ᚈ Ogham Letter Tinne
ᚉ Ogham Letter Coll
ᚊ Ogham Letter Ceirt
ᚋ Ogham Letter Muin
ᚌ Ogham Letter Gort
ᚍ Ogham Letter Ngeadal
ᚎ Ogham Letter Straif
ᚏ Ogham Letter Ruis
ᚐ Ogham Letter Ailm
ᚑ Ogham Letter Onn
ᚒ Ogham Letter Ur
ᚓ Ogham Letter Eadhadh
ᚔ Ogham Letter Iodhadh
ᚕ Ogham Letter Eabhadh
  Ogham Space Mark
ᚖ Ogham Letter Or
ᚁ Ogham Letter Beith
ᚗ Ogham Letter Uilleann
ᚂ Ogham Letter Luis
ᚘ Ogham Letter Ifin
ᚃ Ogham Letter Fearn
ᚙ Ogham Letter Eamhancholl
ᚄ Ogham Letter Sail
ᚚ Ogham Letter Peith
ᚅ Ogham Letter Nion
