ᱥ Ol Chiki Letter Is
᱐ Ol Chiki Digit Zero
ᱺ Ol Chiki Mu-Gaahlaa Ttuddaag
ᱦ Ol Chiki Letter Ih
᱑ Ol Chiki Digit One
ᱻ Ol Chiki Relaa
ᱧ Ol Chiki Letter Iny
᱒ Ol Chiki Digit Two
ᱼ Ol Chiki Phaarkaa
ᱨ Ol Chiki Letter Ir
᱓ Ol Chiki Digit Three
ᱽ Ol Chiki Ahad
ᱩ Ol Chiki Letter Lu
᱔ Ol Chiki Digit Four
᱾ Ol Chiki Punctuation Mucaad
ᱪ Ol Chiki Letter Uc
᱕ Ol Chiki Digit Five
᱿ Ol Chiki Punctuation Double Mucaad
ᱫ Ol Chiki Letter Ud
᱖ Ol Chiki Digit Six
ᱬ Ol Chiki Letter Unn
᱗ Ol Chiki Digit Seven
ᱭ Ol Chiki Letter Uy
᱘ Ol Chiki Digit Eight
ᱮ Ol Chiki Letter Le
᱙ Ol Chiki Digit Nine
ᱯ Ol Chiki Letter Ep
ᱚ Ol Chiki Letter La
ᱰ Ol Chiki Letter Edd
ᱛ Ol Chiki Letter At
ᱱ Ol Chiki Letter En
ᱜ Ol Chiki Letter Ag
ᱲ Ol Chiki Letter Err
ᱝ Ol Chiki Letter Ang
ᱳ Ol Chiki Letter Lo
ᱞ Ol Chiki Letter Al
ᱴ Ol Chiki Letter Ott
ᱟ Ol Chiki Letter Laa
ᱵ Ol Chiki Letter Ob
ᱠ Ol Chiki Letter Aak
ᱶ Ol Chiki Letter Ov
ᱡ Ol Chiki Letter Aaj
ᱷ Ol Chiki Letter Oh
ᱢ Ol Chiki Letter Aam
ᱸ Ol Chiki Mu Ttuddag
ᱣ Ol Chiki Letter Aaw
ᱹ Ol Chiki Gaahlaa Ttuddaag
ᱤ Ol Chiki Letter Li
