𐎳 Old Persian Sign Fa
𐏌 Old Persian Sign Dahyaaush
𐎴 Old Persian Sign Na
𐏍 Old Persian Sign Dahyaaush-2
𐎵 Old Persian Sign Nu
𐎠 Old Persian Sign A
𐏎 Old Persian Sign Baga
𐎶 Old Persian Sign Ma
𐎡 Old Persian Sign I
𐏏 Old Persian Sign Buumish
𐎷 Old Persian Sign Mi
𐎢 Old Persian Sign U
𐏐 Old Persian Word Divider
𐎸 Old Persian Sign Mu
𐎣 Old Persian Sign Ka
𐏑 Old Persian Number One
𐎹 Old Persian Sign Ya
𐎤 Old Persian Sign Ku
𐏒 Old Persian Number Two
𐎺 Old Persian Sign Va
𐎥 Old Persian Sign Ga
𐏓 Old Persian Number Ten
𐎻 Old Persian Sign Vi
𐎦 Old Persian Sign Gu
𐏔 Old Persian Number Twenty
𐎼 Old Persian Sign Ra
𐎧 Old Persian Sign Xa
𐏕 Old Persian Number Hundred
𐎽 Old Persian Sign Ru
𐎨 Old Persian Sign Ca
𐎾 Old Persian Sign La
𐎩 Old Persian Sign Ja
𐎿 Old Persian Sign Sa
𐎪 Old Persian Sign Ji
𐏀 Old Persian Sign Za
𐎫 Old Persian Sign Ta
𐏁 Old Persian Sign Sha
𐎬 Old Persian Sign Tu
𐏂 Old Persian Sign Ssa
𐎭 Old Persian Sign Da
𐏃 Old Persian Sign Ha
𐎮 Old Persian Sign Di
𐏈 Old Persian Sign Auramazdaa
𐎯 Old Persian Sign Du
𐏉 Old Persian Sign Auramazdaa-2
𐎰 Old Persian Sign Tha
𐏊 Old Persian Sign Auramazdaaha
𐎱 Old Persian Sign Pa
𐏋 Old Persian Sign Xshaayathiya
𐎲 Old Persian Sign Ba
