𐒉 Osmanya Letter Shiin
𐒠 Osmanya Digit Zero
𐒊 Osmanya Letter Dha
𐒡 Osmanya Digit One
𐒋 Osmanya Letter Cayn
𐒢 Osmanya Digit Two
𐒌 Osmanya Letter Ga
𐒣 Osmanya Digit Three
𐒍 Osmanya Letter Fa
𐒤 Osmanya Digit Four
𐒎 Osmanya Letter Qaaf
𐒥 Osmanya Digit Five
𐒏 Osmanya Letter Kaaf
𐒦 Osmanya Digit Six
𐒐 Osmanya Letter Laan
𐒧 Osmanya Digit Seven
𐒑 Osmanya Letter Miin
𐒨 Osmanya Digit Eight
𐒒 Osmanya Letter Nuun
𐒩 Osmanya Digit Nine
𐒓 Osmanya Letter Waw
𐒔 Osmanya Letter Ha
𐒕 Osmanya Letter Ya
𐒀 Osmanya Letter Alef
𐒖 Osmanya Letter A
𐒁 Osmanya Letter Ba
𐒗 Osmanya Letter E
𐒂 Osmanya Letter Ta
𐒘 Osmanya Letter I
𐒃 Osmanya Letter Ja
𐒙 Osmanya Letter O
𐒄 Osmanya Letter Xa
𐒚 Osmanya Letter U
𐒅 Osmanya Letter Kha
𐒛 Osmanya Letter Aa
𐒆 Osmanya Letter Deel
𐒜 Osmanya Letter Ee
𐒇 Osmanya Letter Ra
𐒝 Osmanya Letter Oo
𐒈 Osmanya Letter Sa
