ꡀ Phags-Pa Letter Ka
ꡁ Phags-Pa Letter Kha
ꡂ Phags-Pa Letter Ga
ꡃ Phags-Pa Letter Nga
ꡄ Phags-Pa Letter Ca
ꡅ Phags-Pa Letter Cha
ꡆ Phags-Pa Letter Ja
ꡇ Phags-Pa Letter Nya
ꡈ Phags-Pa Letter Ta
ꡉ Phags-Pa Letter Tha
ꡊ Phags-Pa Letter Da
ꡋ Phags-Pa Letter Na
ꡌ Phags-Pa Letter Pa
ꡍ Phags-Pa Letter Pha
ꡎ Phags-Pa Letter Ba
ꡏ Phags-Pa Letter Ma
ꡐ Phags-Pa Letter Tsa
ꡑ Phags-Pa Letter Tsha
ꡒ Phags-Pa Letter Dza
ꡓ Phags-Pa Letter Wa
ꡔ Phags-Pa Letter Zha
ꡕ Phags-Pa Letter Za
ꡖ Phags-Pa Letter Small A
ꡗ Phags-Pa Letter Ya
ꡘ Phags-Pa Letter Ra
ꡙ Phags-Pa Letter La
ꡚ Phags-Pa Letter Sha
ꡛ Phags-Pa Letter Sa
ꡜ Phags-Pa Letter Ha
ꡝ Phags-Pa Letter A
ꡞ Phags-Pa Letter I
ꡟ Phags-Pa Letter U
ꡠ Phags-Pa Letter E
ꡡ Phags-Pa Letter O
ꡢ Phags-Pa Letter Qa
ꡣ Phags-Pa Letter Xa
ꡤ Phags-Pa Letter Fa
ꡥ Phags-Pa Letter Gga
ꡦ Phags-Pa Letter Ee
ꡧ Phags-Pa Subjoined Letter Wa
ꡨ Phags-Pa Subjoined Letter Ya
ꡩ Phags-Pa Letter Tta
ꡪ Phags-Pa Letter Ttha
ꡫ Phags-Pa Letter Dda
ꡬ Phags-Pa Letter Nna
ꡭ Phags-Pa Letter Alternate Ya
ꡮ Phags-Pa Letter Voiceless Sha
ꡯ Phags-Pa Letter Voiced Ha
ꡰ Phags-Pa Letter Aspirated Fa
ꡱ Phags-Pa Subjoined Letter Ra
ꡲ Phags-Pa Superfixed Letter Ra
ꡳ Phags-Pa Letter Candrabindu
꡴ Phags-Pa Single Head Mark
꡵ Phags-Pa Double Head Mark
꡶ Phags-Pa Mark Shad
꡷ Phags-Pa Mark Double Shad
