𐇡 Phaistos Disc Sign Boomerang
𐇶 Phaistos Disc Sign Lily
𐇢 Phaistos Disc Sign Carpentry Plane
𐇷 Phaistos Disc Sign Ox Back
𐇣 Phaistos Disc Sign Dolium
𐇸 Phaistos Disc Sign Flute
𐇤 Phaistos Disc Sign Comb
𐇹 Phaistos Disc Sign Grater
𐇥 Phaistos Disc Sign Sling
𐇐 Phaistos Disc Sign Pedestrian
𐇺 Phaistos Disc Sign Strainer
𐇦 Phaistos Disc Sign Column
𐇑 Phaistos Disc Sign Plumed Head
𐇻 Phaistos Disc Sign Small Axe
𐇧 Phaistos Disc Sign Beehive
𐇒 Phaistos Disc Sign Tattooed Head
𐇼 Phaistos Disc Sign Wavy Band
𐇨 Phaistos Disc Sign Ship
𐇓 Phaistos Disc Sign Captive
𐇽 Phaistos Disc Sign Combining Oblique Stroke
𐇩 Phaistos Disc Sign Horn
𐇔 Phaistos Disc Sign Child
𐇪 Phaistos Disc Sign Hide
𐇕 Phaistos Disc Sign Woman
𐇫 Phaistos Disc Sign Bulls Leg
𐇖 Phaistos Disc Sign Helmet
𐇬 Phaistos Disc Sign Cat
𐇗 Phaistos Disc Sign Gauntlet
𐇭 Phaistos Disc Sign Ram
𐇘 Phaistos Disc Sign Tiara
𐇮 Phaistos Disc Sign Eagle
𐇙 Phaistos Disc Sign Arrow
𐇯 Phaistos Disc Sign Dove
𐇚 Phaistos Disc Sign Bow
𐇰 Phaistos Disc Sign Tunny
𐇛 Phaistos Disc Sign Shield
𐇱 Phaistos Disc Sign Bee
𐇜 Phaistos Disc Sign Club
𐇲 Phaistos Disc Sign Plane Tree
𐇝 Phaistos Disc Sign Manacles
𐇳 Phaistos Disc Sign Vine
𐇞 Phaistos Disc Sign Mattock
𐇴 Phaistos Disc Sign Papyrus
𐇟 Phaistos Disc Sign Saw
𐇵 Phaistos Disc Sign Rosette
𐇠 Phaistos Disc Sign Lid
