࠘ Samaritan Mark Occlusion
ࠃ Samaritan Letter Dalat
࠭ Samaritan Mark Nequdaa
࠙ Samaritan Mark Dagesh
ࠄ Samaritan Letter Iy
࠰ Samaritan Punctuation Nequdaa
ࠚ Samaritan Modifier Letter Epenthetic Yut
ࠅ Samaritan Letter Baa
࠱ Samaritan Punctuation Afsaaq
ࠛ Samaritan Mark Epenthetic Yut
ࠆ Samaritan Letter Zen
࠲ Samaritan Punctuation Anged
ࠜ Samaritan Vowel Sign Long E
ࠇ Samaritan Letter It
࠳ Samaritan Punctuation Bau
ࠝ Samaritan Vowel Sign E
ࠈ Samaritan Letter Tit
࠴ Samaritan Punctuation Atmaau
ࠞ Samaritan Vowel Sign Overlong Aa
ࠉ Samaritan Letter Yut
࠵ Samaritan Punctuation Shiyyaalaa
ࠟ Samaritan Vowel Sign Long Aa
ࠊ Samaritan Letter Kaaf
࠶ Samaritan Abbreviation Mark
ࠠ Samaritan Vowel Sign Aa
ࠋ Samaritan Letter Labat
࠷ Samaritan Punctuation Melodic Qitsa
ࠡ Samaritan Vowel Sign Overlong A
ࠌ Samaritan Letter Mim
࠸ Samaritan Punctuation Ziqaa
ࠢ Samaritan Vowel Sign Long A
ࠍ Samaritan Letter Nun
࠹ Samaritan Punctuation Qitsa
ࠣ Samaritan Vowel Sign A
ࠎ Samaritan Letter Singaat
࠺ Samaritan Punctuation Zaef
ࠤ Samaritan Modifier Letter Short A
ࠏ Samaritan Letter In
࠻ Samaritan Punctuation Turu
ࠥ Samaritan Vowel Sign Short A
ࠐ Samaritan Letter Fi
࠼ Samaritan Punctuation Arkaanu
ࠦ Samaritan Vowel Sign Long U
ࠑ Samaritan Letter Tsaadiy
࠽ Samaritan Punctuation Sof Mashfaat
ࠧ Samaritan Vowel Sign U
ࠒ Samaritan Letter Quf
࠾ Samaritan Punctuation Annaau
ࠨ Samaritan Modifier Letter I
ࠓ Samaritan Letter Rish
ࠩ Samaritan Vowel Sign Long I
ࠔ Samaritan Letter Shan
ࠀ Samaritan Letter Alaf
ࠪ Samaritan Vowel Sign I
ࠕ Samaritan Letter Taaf
ࠬ Samaritan Vowel Sign Sukun
ࠁ Samaritan Letter Bit
ࠫ Samaritan Vowel Sign O
ࠖ Samaritan Mark In
ࠂ Samaritan Letter Gaman
ࠗ Samaritan Mark In-Alaf
