𑆥 Sharada Letter Pa
𑇑 Sharada Digit One
𑆦 Sharada Letter Pha
𑇒 Sharada Digit Two
𑆧 Sharada Letter Ba
𑇓 Sharada Digit Three
𑆨 Sharada Letter Bha
𑇔 Sharada Digit Four
𑆩 Sharada Letter Ma
𑇕 Sharada Digit Five
𑆀 Sharada Sign Candrabindu
𑆪 Sharada Letter Ya
𑇖 Sharada Digit Six
𑆁 Sharada Sign Anusvara
𑆫 Sharada Letter Ra
𑇗 Sharada Digit Seven
𑆂 Sharada Sign Visarga
𑆬 Sharada Letter La
𑇘 Sharada Digit Eight
𑆃 Sharada Letter A
𑆭 Sharada Letter Lla
𑇙 Sharada Digit Nine
𑆄 Sharada Letter Aa
𑆮 Sharada Letter Va
𑇚 Sharada Ekam
𑆅 Sharada Letter I
𑆯 Sharada Letter Sha
𑇛 Sharada Sign Siddham
𑆆 Sharada Letter Ii
𑆰 Sharada Letter Ssa
𑇜 Sharada Headstroke
𑆇 Sharada Letter U
𑆱 Sharada Letter Sa
𑇝 Sharada Continuation Sign
𑆈 Sharada Letter Uu
𑆲 Sharada Letter Ha
𑇞 Sharada Section Mark-1
𑆉 Sharada Letter Vocalic R
𑆳 Sharada Vowel Sign Aa
𑇟 Sharada Section Mark-2
𑆊 Sharada Letter Vocalic Rr
𑆴 Sharada Vowel Sign I
𑆋 Sharada Letter Vocalic L
𑆵 Sharada Vowel Sign Ii
𑆌 Sharada Letter Vocalic Ll
𑆶 Sharada Vowel Sign U
𑆍 Sharada Letter E
𑆷 Sharada Vowel Sign Uu
𑆎 Sharada Letter Ai
𑆸 Sharada Vowel Sign Vocalic R
𑆹 Sharada Vowel Sign Vocalic Rr
𑆏 Sharada Letter O
𑆐 Sharada Letter Au
𑆺 Sharada Vowel Sign Vocalic L
𑆑 Sharada Letter Ka
𑆻 Sharada Vowel Sign Vocalic Ll
𑆒 Sharada Letter Kha
𑆼 Sharada Vowel Sign E
𑇐 Sharada Digit Zero
𑆓 Sharada Letter Ga
𑆽 Sharada Vowel Sign Ai
𑆔 Sharada Letter Gha
𑆾 Sharada Vowel Sign O
𑆕 Sharada Letter Nga
𑆿 Sharada Vowel Sign Au
𑆖 Sharada Letter Ca
𑇀 Sharada Sign Virama
𑆗 Sharada Letter Cha
𑇁 Sharada Sign Avagraha
𑆘 Sharada Letter Ja
𑇂 Sharada Sign Jihvamuliya
𑆙 Sharada Letter Jha
𑇃 Sharada Sign Upadhmaniya
𑆚 Sharada Letter Nya
𑇄 Sharada Om
𑆛 Sharada Letter Tta
𑇅 Sharada Danda
𑆜 Sharada Letter Ttha
𑇆 Sharada Double Danda
𑆝 Sharada Letter Dda
𑇇 Sharada Abbreviation Sign
𑆞 Sharada Letter Ddha
𑇈 Sharada Separator
𑆟 Sharada Letter Nna
𑇉 Sharada Sandhi Mark
𑆠 Sharada Letter Ta
𑇊 Sharada Sign Nukta
𑆡 Sharada Letter Tha
𑇋 Sharada Vowel Modifier Mark
𑆢 Sharada Letter Da
𑇌 Sharada Extra Short Vowel Mark
𑆣 Sharada Letter Dha
𑇍 Sharada Sutra Mark
𑆤 Sharada Letter Na
