ඁ Sinhala Sign Candrabindu
ං Sinhala Sign Anusvaraya
ඃ Sinhala Sign Visargaya
අ Sinhala Letter Ayanna
ආ Sinhala Letter Aayanna
ඇ Sinhala Letter Aeyanna
ඈ Sinhala Letter Aeeyanna
ඉ Sinhala Letter Iyanna
ඊ Sinhala Letter Iiyanna
උ Sinhala Letter Uyanna
ඌ Sinhala Letter Uuyanna
ඍ Sinhala Letter Iruyanna
ඎ Sinhala Letter Iruuyanna
ඏ Sinhala Letter Iluyanna
ඐ Sinhala Letter Iluuyanna
එ Sinhala Letter Eyanna
ඒ Sinhala Letter Eeyanna
ඓ Sinhala Letter Aiyanna
ඔ Sinhala Letter Oyanna
ඕ Sinhala Letter Ooyanna
ඖ Sinhala Letter Auyanna
ක Sinhala Letter Alpapraana Kayanna
ඛ Sinhala Letter Mahaapraana Kayanna
ග Sinhala Letter Alpapraana Gayanna
ඝ Sinhala Letter Mahaapraana Gayanna
ඞ Sinhala Letter Kantaja Naasikyaya
ඟ Sinhala Letter Sanyaka Gayanna
ච Sinhala Letter Alpapraana Cayanna
ඡ Sinhala Letter Mahaapraana Cayanna
ජ Sinhala Letter Alpapraana Jayanna
ඣ Sinhala Letter Mahaapraana Jayanna
ඤ Sinhala Letter Taaluja Naasikyaya
ඥ Sinhala Letter Taaluja Sanyooga Naaksikyaya
ඦ Sinhala Letter Sanyaka Jayanna
ට Sinhala Letter Alpapraana Ttayanna
ඨ Sinhala Letter Mahaapraana Ttayanna
ඩ Sinhala Letter Alpapraana Ddayanna
ඪ Sinhala Letter Mahaapraana Ddayanna
ණ Sinhala Letter Muurdhaja Nayanna
ඬ Sinhala Letter Sanyaka Ddayanna
ත Sinhala Letter Alpapraana Tayanna
ථ Sinhala Letter Mahaapraana Tayanna
ද Sinhala Letter Alpapraana Dayanna
ධ Sinhala Letter Mahaapraana Dayanna
න Sinhala Letter Dantaja Nayanna
ඳ Sinhala Letter Sanyaka Dayanna
ප Sinhala Letter Alpapraana Payanna
ඵ Sinhala Letter Mahaapraana Payanna
බ Sinhala Letter Alpapraana Bayanna
භ Sinhala Letter Mahaapraana Bayanna
ම Sinhala Letter Mayanna
ඹ Sinhala Letter Amba Bayanna
ය Sinhala Letter Yayanna
ර Sinhala Letter Rayanna
ල Sinhala Letter Dantaja Layanna
ව Sinhala Letter Vayanna
ශ Sinhala Letter Taaluja Sayanna
ෂ Sinhala Letter Muurdhaja Sayanna
ස Sinhala Letter Dantaja Sayanna
හ Sinhala Letter Hayanna
ළ Sinhala Letter Muurdhaja Layanna
ෆ Sinhala Letter Fayanna
් Sinhala Sign Al-Lakuna
ා Sinhala Vowel Sign Aela-Pilla
ැ Sinhala Vowel Sign Ketti Aeda-Pilla
ෑ Sinhala Vowel Sign Diga Aeda-Pilla
ි Sinhala Vowel Sign Ketti Is-Pilla
ී Sinhala Vowel Sign Diga Is-Pilla
ු Sinhala Vowel Sign Ketti Paa-Pilla
ූ Sinhala Vowel Sign Diga Paa-Pilla
ෘ Sinhala Vowel Sign Gaetta-Pilla
ෙ Sinhala Vowel Sign Kombuva
ේ Sinhala Vowel Sign Diga Kombuva
ෛ Sinhala Vowel Sign Kombu Deka
ො Sinhala Vowel Sign Kombuva Haa Aela-Pilla
ෝ Sinhala Vowel Sign Kombuva Haa Diga Aela-Pilla
ෞ Sinhala Vowel Sign Kombuva Haa Gayanukitta
ෟ Sinhala Vowel Sign Gayanukitta
෦ Sinhala Lith Digit Zero
෧ Sinhala Lith Digit One
෨ Sinhala Lith Digit Two
෩ Sinhala Lith Digit Three
෪ Sinhala Lith Digit Four
෫ Sinhala Lith Digit Five
෬ Sinhala Lith Digit Six
෭ Sinhala Lith Digit Seven
෮ Sinhala Lith Digit Eight
෯ Sinhala Lith Digit Nine
ෲ Sinhala Vowel Sign Diga Gaetta-Pilla
ෳ Sinhala Vowel Sign Diga Gayanukitta
෴ Sinhala Punctuation Kunddaliya
