𑃹 Sora Sompeng Digit Nine
𑃝 Sora Sompeng Letter Rah
𑃞 Sora Sompeng Letter Hah
𑃟 Sora Sompeng Letter Kah
𑃠 Sora Sompeng Letter Jah
𑃡 Sora Sompeng Letter Nyah
𑃢 Sora Sompeng Letter Ah
𑃣 Sora Sompeng Letter Eeh
𑃤 Sora Sompeng Letter Ih
𑃐 Sora Sompeng Letter Sah
𑃥 Sora Sompeng Letter Uh
𑃑 Sora Sompeng Letter Tah
𑃦 Sora Sompeng Letter Oh
𑃒 Sora Sompeng Letter Bah
𑃧 Sora Sompeng Letter Eh
𑃓 Sora Sompeng Letter Cah
𑃨 Sora Sompeng Letter Mae
𑃔 Sora Sompeng Letter Dah
𑃰 Sora Sompeng Digit Zero
𑃕 Sora Sompeng Letter Gah
𑃱 Sora Sompeng Digit One
𑃖 Sora Sompeng Letter Mah
𑃲 Sora Sompeng Digit Two
𑃗 Sora Sompeng Letter Ngah
𑃳 Sora Sompeng Digit Three
𑃘 Sora Sompeng Letter Lah
𑃴 Sora Sompeng Digit Four
𑃙 Sora Sompeng Letter Nah
𑃵 Sora Sompeng Digit Five
𑃚 Sora Sompeng Letter Vah
𑃶 Sora Sompeng Digit Six
𑃛 Sora Sompeng Letter Pah
𑃷 Sora Sompeng Digit Seven
𑃜 Sora Sompeng Letter Yah
𑃸 Sora Sompeng Digit Eight
