ᮅ Sundanese Letter U
ᮯ Sundanese Letter Sya
ᮚ Sundanese Letter Ya
ᮆ Sundanese Letter Ae
᮰ Sundanese Digit Zero
ᮛ Sundanese Letter Ra
ᮇ Sundanese Letter O
᮱ Sundanese Digit One
ᮜ Sundanese Letter La
ᮈ Sundanese Letter E
᮲ Sundanese Digit Two
ᮝ Sundanese Letter Wa
ᮉ Sundanese Letter Eu
᮳ Sundanese Digit Three
ᮞ Sundanese Letter Sa
ᮊ Sundanese Letter Ka
᮴ Sundanese Digit Four
ᮟ Sundanese Letter Xa
ᮋ Sundanese Letter Qa
᮵ Sundanese Digit Five
ᮠ Sundanese Letter Ha
ᮌ Sundanese Letter Ga
᮶ Sundanese Digit Six
ᮡ Sundanese Consonant Sign Pamingkal
ᮍ Sundanese Letter Nga
᮷ Sundanese Digit Seven
ᮢ Sundanese Consonant Sign Panyakra
ᮎ Sundanese Letter Ca
ᮮ Sundanese Letter Kha
ᮣ Sundanese Consonant Sign Panyiku
᮸ Sundanese Digit Eight
ᮏ Sundanese Letter Ja
᮹ Sundanese Digit Nine
ᮤ Sundanese Vowel Sign Panghulu
ᮐ Sundanese Letter Za
ᮺ Sundanese Avagraha
ᮥ Sundanese Vowel Sign Panyuku
ᮑ Sundanese Letter Nya
ᮻ Sundanese Letter Reu
ᮦ Sundanese Vowel Sign Panaelaeng
ᮒ Sundanese Letter Ta
ᮼ Sundanese Letter Leu
ᮧ Sundanese Vowel Sign Panolong
ᮓ Sundanese Letter Da
ᮽ Sundanese Letter Bha
ᮨ Sundanese Vowel Sign Pamepet
ᮔ Sundanese Letter Na
ᮾ Sundanese Letter Final K
ᮩ Sundanese Vowel Sign Paneuleung
ᮕ Sundanese Letter Pa
ᮿ Sundanese Letter Final M
ᮀ Sundanese Sign Panyecek
᮪ Sundanese Sign Pamaaeh
ᮖ Sundanese Letter Fa
ᮁ Sundanese Sign Panglayar
᮫ Sundanese Sign Virama
ᮗ Sundanese Letter Va
ᮂ Sundanese Sign Pangwisad
ᮬ Sundanese Consonant Sign Pasangan Ma
ᮘ Sundanese Letter Ba
ᮃ Sundanese Letter A
ᮭ Sundanese Consonant Sign Pasangan Wa
ᮙ Sundanese Letter Ma
ᮄ Sundanese Letter I
